Symbol,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
ADP,0.79,0.91,0.91,0.91,0.91
AZO,0,0,0,0,0
AVB,1.52,1.52,1.59,1.59,1.59
AVY,0.58,0.58,0.58,0.58,0.58
BKR,0.18,0.18,0.18,0.18,0.18
BLL,0.15,0.15,0.15,0.15,0.15
BAC,0.18,0.18,0.18,0.18,0.18
BK,0.31,0.31,0.31,0.31,0.31
BAX,0.22,0.22,0.22,0.245,0.245
BDX,0.77,0.79,0.79,0.79,0.79
BRK.B,0,0,0,0,0
BBY,0.5,0.5,0.5,0.55,0.55
BIO,0,0,0,0,0
BIIB,0,0,0,0,0
BLK,3.3,3.3,3.63,3.63,3.63
BA,2.055,2.055,2.055,0,0
BKNG,0,0,0,0,0
BWA,0.17,0.17,0.17,0.17,0.17
BXP,0.95,0.98,0.98,0.98,0.98
BSX,0,0,0,0,0
BMY,0.41,0.45,0.45,0.45,0.45
AVGO,2.65,2.65,3.25,3.25,3.25
BR,0.54,0.54,0.54,0.54,0.575
BF.B,0.166,0.166,0.1743,0.1743,0.1743
CHRW,0.5,0.51,0.51,0.51,0.51
COG,0.09,0.1,0.1,0.1,0.1
CDNS,0,0,0,0,0
CPB,0.35,0.35,0.35,0.35,0.35
COF,0.4,0.4,0.4,0.4,0.1
CAH,0.4811,0.4811,0.4811,0.4859,0.4859
KMX,0,0,0,0,0
CCL,0.5,0.5,0.5,#N/A,#N/A
CARR,#N/A,#N/A,0,0.08,0
CTLT,0,0,0,0,0
CAT,1.03,1.03,1.03,1.03,1.03
CBOE,0.36,0.36,0.36,0.36,0.42
CBRE,0,0,0,0,0
CDW,0.295,0.38,0.38,0.38,0.38
CE,0.62,0.62,0.62,0.62,0.62
CNC,0,0,0,0,0
CNP,0.2875,0.2875,0.29,0.15,0.15
CERN,0.18,0.18,0.18,0.18,0.18
CF,0.3,0.3,0.3,0.3,0.3
SCHW,0.17,0.17,0.18,0.18,0.18
CHTR,0,0,0,0,0
CVX,1.19,1.19,1.29,1.29,1.29
CMG,0,0,0,0,0
CB,0.75,0.75,0.75,0.78,0.78
CHD,0.2275,0.2275,0.24,0.24,0.24
CI,0,0.04,0,0,0
CINF,0.56,0.56,0.6,0.6,0.6
CTAS,0,0,0,2.55,0
CSCO,0.35,0.35,0.35,0.36,0.36
C,0.51,0.51,0.51,0.51,0.51
CFG,0.36,0.36,0.39,0.39,0.39
CTXS,0.35,0.35,0.35,0.35,0.35
CLX,1.06,1.06,1.06,1.11,1.11
CME,0.75,0.75,0.85,0.85,0.85
CMS,0.3825,0.3825,0.4075,0.4075,0.4075
KO,0.4,0.4,0.41,0.41,0.41
CTSH,0.2,0.2,0.22,0.22,0.22
CL,0.43,0.43,0.43,0.44,0.44
CMCSA,0.21,0.21,0.23,0.23,0.23
CMA,0.67,0.67,0.68,0.68,0.68
CAG,0.2125,0.2125,0.2125,0.2125,0.2125
CXO,0.125,0.125,0.2,0.2,0.2
COP,0.305,0.42,0.42,0.42,0.42
ED,0.74,0.74,0.765,0.765,0.765
STZ,0.75,0.75,0.75,0.75,0.75
COO,0.03,0,0.03,0,0.03
CPRT,0,0,0,0,0
GLW,0.2,0.2,0.22,0.22,0.22
CTVA,0,0.13,0.13,0.13,0.13
COST,0.65,0.65,0.65,0.7,0.7
CCI,1.125,1.2,1.2,1.2,1.2
CSX,0.24,0.24,0.26,0.26,0.26
CMI,1.311,1.311,1.311,1.311,1.311
CVS,0.5,0.5,0.5,0.5,0.5
DHI,0.15,0.175,0.175,0.175,0.175
DHR,0.17,0.17,0.18,0.18,0.18
DRI,0.88,0.88,0.88,0,0
DVA,0,0,0,0,0
DE,0.76,0.76,0.76,0.76,0.76
DAL,0.4025,0.4025,0.4025,#N/A,#N/A
XRAY,0.1,0.1,0.1,0.1,0.1
DVN,0.09,0.09,0.11,0.11,0.11
DXCM,0,0,0,0,0
FANG,0.1875,0.1875,0.375,0.375,0.375
DLR,1.08,1.08,1.12,1.12,1.12
DFS,0.44,0.44,0.44,0.44,0.44
DISCA,0,0,0,0,0
DISCK,0,0,0,0,0
DISH,0,0,0,0,0
DG,0.32,0.32,0.32,0.36,0.36
DLTR,0,0,0,0,0
D,0.9175,0.9175,0.94,0.94,0.94
DPZ,0.65,0.65,0.78,0.78,0.78
DOV,0.49,0.49,0.49,0.49,0.495
DOW,0.7,0.7,0.7,0.7,0.7
DTE,0.945,1.0125,1.0125,1.0125,1.0125
DUK,0.945,0.945,0.945,0.945,0.965
DRE,0.215,0.235,0.235,0.235,0.235
DD,0.3,0.3,0.3,0.3,0.3
DXC,0.21,0.21,0.21,#N/A,#N/A
EMN,0.62,0.66,0.66,0.66,0.66
ETN,0.71,0.71,0.73,0.73,0.73
EBAY,0.14,0.14,0.16,0.16,0.16
ECL,0.46,0.47,0.47,0.47,0.47
EIX,0.6125,0.6375,0.6375,0.6375,0.6375
EW,0,0,0,0,0
EA,0,0,0,0,0
EMR,0.49,0.5,0.5,0.5,0.5
ETR,0.91,0.93,0.93,0.93,0.93
EOG,0.2875,0.2875,0.375,0.375,0.375
EFX,0.39,0.39,0.39,0.39,0.39
EQIX,2.46,2.46,2.66,2.66,2.66
EQR,0.5675,0.5675,0.6025,0.6025,0.6025
ESS,1.95,1.95,2.0775,2.0775,2.0775
EL,0.43,0.48,0.48,0,0.48
ETSY,0,0,0,0,0
EVRG,0.475,0.505,0.505,0.505,0.505
ES,0.535,0.535,0.5675,0.5675,0.5675
RE,1.4,1.55,1.55,1.55,1.55
EXC,0.3625,0.3625,0.3825,0.3825,0.3825
EXPE,0.34,0.34,0.34,0,0
EXPD,0,0.5,0,0.52,0
EXR,0.9,0.9,0.9,0.9,0.9
XOM,0.87,0.87,0.87,0.87,0.87
FFIV,0,0,0,0,0
FB,0,0,0,0,0
FAST,0.22,0.22,0.25,0.25,0.25
FRT,1.05,1.05,1.05,1.05,1.06
FDX,0.65,0.65,0.65,0.65,0.65
FIS,0.35,0.35,0.35,0.35,0.35
FITB,0.24,0.24,0.27,0.27,0.27
FE,0.38,0.38,0.39,0.39,0.39
FRC,0.19,0.19,0.19,0.2,0.2
FISV,0,0,0,0,0
FLT,0,0,0,0,0
FLIR,0.17,0.17,0.17,0.17,0.17
FLS,0.19,0.19,0.2,0.2,0.2
FMC,0.4,0.44,0.44,0.44,0.44
F,0.15,0.15,0.15,0,0
FTNT,0,0,0,0,0
FTV,0.07,0.07,0.07,0.07,0.07
FBHS,0.22,0.22,0.24,0.24,0.24
FOXA,0,0.23,0,0.23,0
FOX,0,0.23,0,0.23,0
BEN,0.26,0.27,0.27,0.27,0.27
FCX,0.05,0.05,0,0,0
GPS,0.2425,0.2425,0.2425,0.2425,#N/A
GRMN,0.57,0.57,0.57,0.61,0.61
IT,0,0,0,0,0
GD,1.02,1.02,1.1,1.1,1.1
GE,0.01,0.01,0.01,0.01,0.01
GIS,0.49,0.49,0.49,0.49,0.49
GM,0.38,0.38,0.38,0,0
GPC,0.7625,0.7625,0.79,0.79,0.79
GILD,0.63,0.63,0.68,0.68,0.68
GL,0.1725,0.1725,0.1875,0.1875,0.1875
GPN,0.01,0.195,0.195,0.195,0.195
GS,1.25,1.25,1.25,1.25,1.25
GWW,1.44,1.44,1.44,1.44,1.53
HAL,0.18,0.18,0.18,0.045,0.045
HBI,0.15,0.15,0.15,0.15,0.15
HIG,0.3,0.3,0.325,0.325,0.325
HAS,0.68,0.68,0.68,0.68,0.68
HCA,0.4,0.4,0.43,0,0
PEAK,0.37,0.37,0.37,0.37,0.37
HSIC,0,0,0,0,0
HSY,0.773,0.773,0.773,0.773,0.804
HES,0.25,0.25,0.25,0.25,0.25
HPE,0.1125,0.1125,0.12,0.12,0.12
HLT,0.15,0.15,0.15,#N/A,#N/A
HFC,0.33,0.35,0.35,0.35,0.35
HOLX,0,0,0,0,0
HD,1.36,1.36,1.36,1.5,1.5
HON,0.82,0.9,0.9,0.9,0.9
HRL,0.21,0.21,0.2325,0.2325,0.2325
HST,0.2,0.2,0.2,0,0
HWM,0.02,0.02,#N/A,0,0
HPQ,0.1602,0.1602,0.1762,0.1762,0.1762
HUM,0.55,0.55,0.625,0.625,0.625
HBAN,0.15,0.15,0.15,0.15,0.15
HII,0.86,1.03,1.03,1.03,1.03
IEX,0.5,0.5,0.5,0.5,0.5
IDXX,0,0,0,0,0
INFO,0,0,0.17,0.17,0.17
ITW,1.07,1.07,1.07,1.07,1.14
ILMN,0,0,0,0,0
INCY,0,0,0,0,0
IR,0,0,0,0,0
INTC,0.315,0.315,0.33,0.33,0.33
ICE,0.275,0.275,0.3,0.3,0.3
IBM,1.62,1.62,1.62,1.63,1.63
IP,0.5,0.5125,#N/A,0.5125,0.5125
IPG,0.235,0.235,0.255,0.255,0.255
IFF,0.75,0.75,0.75,0.75,0.77
INTU,0.47,0.53,0.53,0.53,0.53
ISRG,0,0,0,0,0
IVZ,0.31,0.31,0.31,0.155,0.155
IPGP,0,0,0,0,0
IQV,0,0,0,0,0
IRM,0.611,0.6185,0.6185,0.6185,0.6185
JKHY,0.4,0.4,0.43,0.43,0.43
J,0.17,0.19,0.19,0.19,0.19
JBHT,0.26,0.26,0.27,0.27,0.27
SJM,0.88,0.88,#N/A,0.88,0.9
JNJ,0.95,0.95,0.95,1.01,1.01
JCI,0.26,0.26,0.26,0.26,0.26
JPM,0.9,0.9,0.9,0.9,0.9
JNPR,0.19,0.19,0.2,0.2,0.2
KSU,0.36,0.4,0.4,0.4,0.4
K,0.57,0.57,0.57,0.57,0.57
KEY,0.185,0.185,0.185,0.185,0.185
KEYS,0,0,0,0,0
KMB,1.03,1.03,1.07,1.07,1.07
KIM,0.28,0.28,0.28,0,0.1
KMI,0.25,0.25,0.25,0.2625,0.2625
KLAC,0.75,0.85,0.85,0.85,0.9
KHC,0.4,0.4,0.4,0.4,0.4
KR,0.16,0.16,0.16,0.16,0.18
LB,0.3,0.3,0.3,0.3,#N/A
LHX,0.685,0.685,0.75,0.75,0.85
LH,0,0,0,0,0
LRCX,1.15,1.15,1.15,1.15,1.3
LW,0.2,0.2,0.23,0.23,0.23
LVS,0.77,0.77,0.79,#N/A,#N/A
LEG,0.4,0.4,0.4,0.4,0.4
LDOS,0.34,0.34,0.34,0.34,0.34
LEN,0.04,0.04,0.125,0.125,0.125
LLY,0.645,0.645,0.74,0.74,0.74
LNC,0.37,0.4,0.4,0.4,0.4
LIN,0.875,0.875,0.963,0.963,0.963
LYV,0,0,0,0,0
LKQ,0,0,0,0,0
LMT,2.2,2.4,2.4,2.4,2.4
L,0.0625,0.0625,0.0625,0.0625,0.0625
LOW,0.55,0.55,0.55,0.55,0.55
LUMN,0.25,0.25,0.25,0.25,0.25
LYB,1.05,1.05,1.05,1.05,1.05
MTB,1,1.1,1.1,1.1,1.1
MRO,0.05,0.05,0.05,0,0
MPC,0.53,0.53,0.58,0.58,0.58
MKTX,0.51,0.51,0.6,0.6,0.6
MAR,0.48,0.48,0.48,0,0
MMC,0.455,#N/A,0.455,0.465,0.465
MLM,0.55,0.55,0.55,0.55,0.57
MAS,0.135,0.135,0.135,0.135,0.14
MA,0.33,0.4,0.4,0.4,0.4
MKC,0.57,0.57,0.62,0.62,0.62
MXIM,0.48,0.48,0.48,0.48,0.48
MCD,1.16,1.25,1.25,1.25,1.25
MCK,0.41,0.41,0.41,0.41,0.42
MDT,0.54,0.54,0.54,0.54,0.58
MRK,0.55,0.61,0.61,0.61,0.61
MET,0.44,0.44,0.44,0.46,0.46
MTD,0,0,0,0,0
MGM,0.13,0.13,0.15,0.0025,0.0025
MCHP,0.366,0.3665,0.367,0.3675,0.368
MU,0,0,0,0,0
MSFT,0.51,0.51,0.51,0.51,0.56
MAA,0.96,1,1,1,1
MHK,0,0,0,0,0
TAP,0.57,0.57,0.57,0,0
MDLZ,0.285,0.285,0.285,0.285,0.315
MNST,0,0,0,0,0
MCO,0.5,0.5,0.56,0.56,0.56
MS,0.35,0.35,0.35,0.35,0.35
MOS,0.05,0.05,0.05,0.05,0.05
MSI,0.57,0.64,0.64,0.64,0.64
MSCI,0.68,0.68,0.68,0.68,0.78
MYL,0,0,0,0,0
NDAQ,0.47,0.47,0.47,0.49,0.49
NOV,0.05,0.05,0.05,#N/A,#N/A
NTAP,0.48,0.48,0.48,0.48,0.48
NFLX,0,0,0,0,0
NWL,0.23,0.23,0.23,0.23,0.23
NEM,0.14,0.14,0.14,0.25,0.25
NWSA,0,0.1,0,0.1,#N/A
NWS,0,0.1,0,0.1,#N/A
NEE,0.3125,0.3125,0.35,0.35,0.35
NLSN,0.35,0.06,0.06,0.06,0.06
NKE,0.22,0.245,0.245,0.245,0.245
NI,0.2,0.2,0.21,0.21,0.21
NSC,0.94,0.94,0.94,0.94,0.94
NTRS,0.7,0.7,0.7,0.7,0.7
NOC,1.32,1.32,1.32,1.45,1.45
NLOK,0.075,0.125,0.125,0.125,0.125
NCLH,0,0,0,0,0
NRG,0.03,0.03,0.3,0.3,0.3
NUE,0.4,0.4025,0.4025,0.4025,0.4025
NVDA,0.16,0.16,0.16,0.16,0.16
NVR,0,0,0,0,0
ORLY,0,0,0,0,0
OXY,0.79,0.79,0.79,0.01,0.01
ODFL,0.11333,0.11333,0.153333338,0.15,0.15
OMC,0.65,0.65,0.65,0.65,0.65
OKE,0.89,0.915,0.935,0.935,0.935
ORCL,0.24,0.24,0.24,0.24,0.24
OTIS,#N/A,#N/A,0,0.2,0.2
PCAR,0.32,0.32,0.32,0.32,0.32
PKG,0.79,0.79,0.79,0.79,0.79
PH,0.88,0.88,0.88,0.88,0.88
PAYX,0.62,0.62,0.62,0.62,0.62
PAYC,0,0,0,0,0
PYPL,0,0,0,0,0
PNR,0.18,0.19,0.19,0.19,0.19
PBCT,0.1775,0.1775,0.1775,0.18,0.18
PEP,0.955,0.955,0.955,1.0225,1.0225
PKI,0.07,0.07,0.07,0.07,0.07
PRGO,0.21,0.21,0.225,0.225,0.225
PFE,0.36,0.38,0.38,0.38,0.38
PM,1.17,1.17,1.17,1.17,1.2
PSX,0.9,0.9,0.9,0.9,0.9
PNW,0.7375,0.7825,0.7825,0.7825,0.7825
PXD,0.44,0.44,0.55,0.55,0.55
PNC,1.15,1.15,1.15,1.15,1.15
POOL,0.55,0.55,0.55,0.58,0.58
PPG,0.51,0.51,0.51,0.51,0.54
PPL,0.4125,0.4125,0.415,0.415,0.415
PFG,0.55,0.55,0.56,0.56,0.56
PG,0.7459,0.7459,0.7459,0.7907,0.7907
PGR,0.1,0.1,0.1,0.1,0.1
PLD,0.53,0.53,0.58,0.58,0.58
PRU,1,1,1.1,1.1,1.1
PEG,0.47,0.47,0.49,0.49,0.49
PSA,2,2,2,2,2
PHM,0.11,0.12,0.12,0.12,0.12
PVH,0.0375,0.0375,0.0375,0.0375,#N/A
QRVO,0,0,0,0,0
PWR,0.04,0.05,0.05,0.05,0.05
QCOM,0.62,0.62,0.62,0.65,0.65
DGX,0.53,0.53,0.56,0.56,0.56
RL,0.6875,0.6875,0.6875,#N/A,#N/A
RJF,0.34,0.37,0.37,0.37,0.37
RTX,0.735,0.735,0.735,0.475,0.475
O,0.68,0.6815,0.698,0.6995,0.701
REG,0.585,0.585,0.595,0.595,0.595
REGN,0,0,0,#N/A,#N/A
RF,0.155,0.155,0.155,0.155,0.155
RSG,0.405,0.405,0.405,0.405,0.425
RMD,0.39,0.39,0.39,0.39,0.39
RHI,0.31,0.31,0.34,0.34,0.34
ROK,0.97,1.02,1.02,1.02,1.02
ROL,0.105,0.105,0.12,0.08,0.08
ROP,0.4625,0.5125,0.5125,0.5125,0.5125
ROST,0.255,0.255,0.255,0.285,#N/A
RCL,0.78,0.78,0.78,0,0
SPGI,0.57,0.57,0.67,0.67,0.67
CRM,0,0,0,0,0
SBAC,0.37,0.37,0.465,0.465,0.465
SLB,0.5,0.5,0.5,0.125,0.125
STX,0.63,0.65,0.65,0.65,0.65
SEE,0.16,0.16,0.16,0.16,0.16
SRE,0.9675,0.9675,1.045,1.045,1.045
NOW,0,0,0,0,0
SHW,1.13,1.13,1.34,1.34,1.34
SPG,2.1,2.1,2.1,1.3,1.3
SWKS,0.44,0.44,0.44,0.44,0.5
SLG,0.85,0.885,0.295,0.885,0.885
SNA,0.95,1.08,1.08,1.08,1.08
SO,0.62,0.62,#N/A,0.64,0.64
LUV,0.18,0.18,0.18,#N/A,#N/A
SWK,0.69,0.69,0.69,0.69,0.7
SBUX,0.36,0.41,0.41,0.41,0.41
STT,0.52,0.52,0.52,0.52,0.52
STE,0.37,0.37,0.37,0.37,0.4
SYK,0.52,0.575,0.575,0.575,0.575
SIVB,0,0,0,0,0
SYF,0.22,0.22,0.22,0.22,0.22
SNPS,0,0,0,0,0
SYY,0.39,0.45,0.45,0.45,0.45
TMUS,0,0,0,0,0
TROW,0.76,0.76,0.9,0.9,0.9
TTWO,0,0,0,0,0
TPR,0.3375,0.3375,0.3375,#N/A,#N/A
TGT,0.66,0.66,0.66,0.66,0.68
TEL,0.46,0.46,0.46,0.48,0.48
FTI,0.13,0.13,0.13,#N/A,#N/A
TDY,0,0,0,0,0
TFX,0.34,0.34,0.34,0.34,0.34
TER,0.09,0.09,0.1,0.1,0.1
TXN,0.77,0.9,0.9,0.9,0.9
TXT,0.02,0.02,0.02,0.02,0.02
TMO,0.19,0.19,0.22,0.22,0.22
TIF,0.58,0.58,0.58,0.58,0.58
TJX,0.23,0.23,0.23,0,0
TSCO,0.35,0.35,0.35,0.35,0.4
TT,0.53,0.53,0.53,0.53,0.53
TDG,0,0,0,0,0
TRV,0.82,0.82,0.82,0.85,0.85
TFC,0.45,0.45,0.45,0.45,0.45
TWTR,0,0,0,0,0
TYL,0,0,0,0,0
TSN,0.42,0.42,0.42,0.42,0.445
UDR,0.3425,0.3425,0.36,0.36,0.36
ULTA,0,0,0,0,0
USB,0.42,0.42,0.42,0.42,0.42
UAA,0,0,0,0,0
UA,0,0,0,0,0
UNP,0.97,0.97,0.97,0.97,0.97
UAL,0,0,0,0,0
UNH,1.08,1.08,1.08,1.25,1.25
UPS,0.96,0.96,1.01,1.01,1.01
URI,0,0,0,0,0
UHS,0.2,0.2,0.2,#N/A,#N/A
UNM,0.285,0.285,#N/A,0.285,0.285
VFC,0.43,0.48,0.48,0.48,0.48
VLO,0.9,0.9,0.98,0.98,0.98
VAR,0,0,0,0,0
VTR,0.7925,0.7925,0.7925,0.45,0.45
VRSN,0,0,0,0,0
VRSK,0.25,0.25,0.27,0.27,0.27
VZ,0.615,0.615,0.615,0.615,0.6275
VRTX,0,0,0,0,0
VIAC,0.18,0.24,0.24,0.24,0.24
V,0.25,0.3,0.3,0.3,0.3
VNT,#N/A,#N/A,#N/A,#N/A,#N/A
VNO,0.66,0.66,#N/A,0.66,0.53
VMC,0.31,0.31,0.34,0.34,0.34
WRB,0.11,0.11,0.11,0.12,0.12
WAB,0.12,0.12,0.12,0.12,0.12
WMT,0.53,0.53,0.53,0.54,0.54
WBA,0.4575,0.4575,0.4575,0.4575,0.4675
DIS,0.88,0,0.88,0,0
WM,0.5125,0.5125,0.545,0.545,0.545
WAT,0,0,0,0,0
WEC,0.59,0.59,0.6325,0.6325,0.6325
WFC,0.51,0.51,0.51,0.51,0.1
WELL,0.87,0.87,0.87,0.61,0.61
WST,0.16,0.16,0.16,0.16,0.17
WDC,0.5,0.5,0.5,#N/A,#N/A
WU,0.2,0.2,0.225,0.225,0.225
WRK,0.455,0.465,0.465,0.2,0.2
WY,0.34,0.34,0.34,0,0
WHR,1.2,1.2,1.2,1.2,1.2
WMB,0.38,0.38,0.4,0.4,0.4
WLTW,0.65,0.65,0.68,0.68,0.68
WYNN,1,1,1,#N/A,#N/A
XEL,0.405,0.405,0.43,0.43,0.43
XRX,0.25,0.25,0.25,0.25,0.25
XLNX,0.37,0.37,0.37,0.38,0.38
XYL,0.24,0.24,0.26,0.26,0.26
YUM,0.42,0.42,0.47,0.47,0.47
ZBRA,0,0,0,0,0
ZBH,0.24,0.24,0.24,0.24,0.24
ZION,0.34,0.34,0.34,0.34,0.34
ZTS,0.164,0.2,0.2,0.2,0.2
