Symbol,Q3 2019 Shareholder's Equity,Q4 2019 Shareholder's Equity,Q1 2020 Shareholder's Equity,Q2 2020 Shareholder's Equity,Q3 2020 Shareholder's Equity
RTX,40468,41774,39411,67225,68379
O,9293.419,9774.456,10388.015,10344.449,10470.527
REG,6262.739,6213.348,6199.422,6121.983,6039.594
REGN,10504.4,11089.7,12133,9057.4,10125.5
RF,16581,16295,17332,17602,17904
RSG,7976.5,8118.2,8117.2,8227.1,8370.1
RMD,2117.251,2258.106,2256.431,2497.027,2678.86
RHI,1111.83,1143.683,1129.925,1156.706,1194.029
ROK,404.2,717,620.8,770.5,1027.8
ROL,806.897,815.75,800.371,862.83,932.716
ROP,8571.3,9491.9,9591.3,9879.7,10160.9
ROST,3276.779,3359.249,2817.392,2867.199,
RCL,11976.907,12163.846,10231.775,8963.905,8328.594
SPGI,346,479,-250,210,442
CRM,33279,33885,34565,38440,
SBAC,-3560.374,-3667.007,-4317.23,-4304.992,-4486.398
SLB,23913,23760,15561,12040,11941
STX,1770,1830,1792,1787,1821
SEE,-304.1,-196.2,-181.9,-70.1,24.5
SRE,18640,19949,20137,23626,23248
NOW,1429.473,2127.941,2266.095,2478.806,2673.716
SHW,4022.86,4123.3,3289.1,3869.9,4207.3
SPG,2672.529,2526.398,2181.599,2029.34,1752.851
SWKS,4122.3,4267.3,4142.8,4182.4,4164.2
SLG,5978.433,5724.6,5529.485,5345.42,5258.281
SNA,3303.8,3409.1,3331.3,3486.7,3619
SO,27804,27796,28016,27961,28580
LUV,9931,9832,9075,10878,9769
SWK,8262.3,9136.3,8953.4,9959.5,10372.9
SBUX,-6232.2,-6759.9,-7530.1,-8621.6,-7805.1
STT,25209,24431,23861,24873,25558
STE,3228.668,3382.68,3393.876,3474.664,3647.145
SYK,12315,12807,13115,12754,12986
SIVB,5890.68,6470.307,7034.749,7319.373,7792.935
SYF,15120,15088,11970,11899,12099
SNPS,4083.013,4148.827,4275.086,4595.925,
SYY,2454.748,2527.526,2028.89,1158.613,1300.011
TMUS,27771,28789,28977,62996,64487
TROW,6839.8,7102.1,6434,6750.7,7128.5
TTWO,2181.763,2402.035,2539.244,2651.028,2901.282
TPR,3086.9,3322.4,2553.1,2276.4,2530.1
TGT,11545,11833,11169,12578,
TEL,10570,10557,9066,9036,9383
FTI,10078.9,7659.3,4056.4,4141.1,4189.1
TDY,2571,2714.7,2753,2879.9,3026
TFX,2852.976,2979.32,3073.024,3097.402,3236.203
TER,1482.635,1480.158,1550.673,1744.551,1993.544
TXN,8985,8907,7734,7644,8325
TXT,5452,5518,5534,5527,5741
TMO,29355,29675,28559,29875,31824
TIF,3129.9,3322.9,3168.9,3195.8,
TJX,5542.532,5948.212,4739.218,4660.569,
TSCO,1491.822,1567.123,1353.723,1695.73,1875.866
TT,7237.6,7267.6,5772.6,5936.9,6366.7
TDG,-2894.905,-4303,-4209,-4183,-3972
TRV,25607,25943,25204,26943,27849
TFC,32234,66384,65894,68777,69867
TWTR,8415.642,8704.386,8795.627,7658.055,7812.088
TYL,1519.597,1617.058,1712.832,1829.328,1898.145
TSN,14082,14419,14449,14858,15465
UDR,3246.562,3358.542,3464.115,3397.322,3312.656
ULTA,1847.156,1902.094,1753.959,1770.793,
USB,53517,51853,51532,51850,52565
UAA,2153.666,2150.087,1550.18,1423.414,1470.346
UA,2153.666,2150.087,1550.18,1423.414,1470.346
UNP,18016,18128,15991,16452,17199
UAL,11301,11531,9418,8517,7003
UNH,54996,57616,56977,63624,65231
UPS,5558,3267,3299,4363,5592
URI,3650,3830,3635,3907,4161
UHS,5389.215,5504.105,5413.209,5688.647,5962.788
UNM,9631.6,9965,9803.1,10561.4,10892.2
VFC,4647.619,4567.59,3357.334,2912.598,2945.238
VLO,21107,21803,18842,19847,19223
VAR,1768.3,1847.3,1860.8,1933.5,2075.5
VTR,10665.706,10445.892,10632.942,10311.212,10196.852
VRSN,-1451.919,-1490.1,-1409.114,-1400.324,-1386.248
VRSK,2063.7,2260.8,2080.5,2176.1,2421.3
VZ,58921,61395,60210,62697,65069
VRTX,5253.394,6085.244,6461.654,7519.242,8133.473
VIAC,5052,13207,13449,13874,14556
V,34684,35270,34585,35524,36210
VNT,#N/A,#N/A,#N/A,#N/A,1583.1
VNO,7075.072,6732.03,6837.027,6496.417,6468.84
VMC,5542.239,5621.857,5590.326,5764.151,5928.352
WRB,6056.296,6074.939,5493.475,5801.116,5995.112
WAB,9696.4,9956.5,9761.8,9845.6,10016.9
WMT,71649,74669,68240,75310,
WBA,23661,23720,20736,20637,
DIS,88877,89757,90407,85866,83583
WM,6785,7068,6743,6891,7155
WAT,115.5,-216.281,-337.999,-191.742,-41.581
WEC,10081.4,10143.8,10374.5,10414.1,10481.1
WFC,193304,187146,182718,179386,181173
WELL,15266.065,15540.444,16132.783,16048.14,16107.874
WST,1487.6,1573.2,1490.2,1606.3,1718.9
WDC,9566,9379,9243,9551,9576
WU,-19.7,-39.5,-149.7,-73.4,67.1
WRK,11669.9,11825.2,11482.4,11713.1,10630.6
WY,8599,8177,8082,8202,8527
WHR,3028,3195,3060,3018,3371
WMB,13621,13363,12354,12212,12065
WLTW,9887,10249,10263,10335,10515
WYNN,1918.751,1743.045,1242.09,619.519,-128.703
XEL,13141,13239,13302,13385,13777
XRX,5069,5801,5607,5691,5662
XLNX,2695.905,2641.162,2315.049,2319.653,2452.837
XYL,2886,2957,2812,2856,2867
YUM,-8097,-8016,-8229,-8108,-7919
ZBRA,1694,1839,1727,1803,1931
ZBH,12081.5,12388.1,11878.6,11641.4,11872.2
ZION,7509,7353,7472,7575,7668
ZTS,2678,2708,2753,2982,3602
