,2015 EBITDA,2016 EBITDA,2017 EBITDA,2018 EBITDA,2019 EBITDA
BA,9003,7448,12166,13915,335
SAM,199.832,186.981,169.382,168.501,212.094
BCO,292.1,342.5,448.7,442.8,463.7
BKE,288.652,261.73,185.547,164.823,147.776
CATO,112.36,120.815,78.526,38.317,46.167
SCHW,2509,3319,4079,5112,5224
CAKE,256.82,289.117,258.852,243.722,229.43
CHEF,56.371,55.723,61.097,72.412,82.638
CC,493,741,1345,1512,737
PLCE,151.614,169.234,215.85,235.669,185.153
CLX,1171,1233,1285,1292,1289
KO,11774,11151,10038,11194,11869
COO,551.074,610.2,670,771.6,849.6
SSP,32.164,170.135,80.651,197.404,173.552
ENSG,121.193,119.441,139.078,137.58,185.119
EL,1981,2221,2397,2964,3072
GPS,2610,2148,2063,2063,1905
GEO,342.485,380.5,372.582,391.099,431.238
GS,#N/A,#N/A,#N/A,#N/A,#N/A
GT,2349,2520,2184,1988,1616
GBX,427.418,457.977,322.06,281.096,234.591
HAIN,292.959,341.704,210.234,200.591,85.148
THG,#N/A,#N/A,#N/A,#N/A,#N/A
HIG,#N/A,#N/A,#N/A,#N/A,#N/A
HSY,1664.938,1770.313,1882.973,1975.532,1949.082
HD,12288,13765,15437,16913,17929
IPG,1028.1,1098.2,1095.5,1211.7,1398.4
SJM,1112.8,1721,1697.4,1674.9,1708.7
KHC,4474,8435,8006,6779,5999
KR,5209,5711,5775,5413,5168
MAC,776.462,601.163,574.991,541.118,606.447
MCS,114.69727,114.69727,129.36,144.865,142.342
MIK,768,835.36,838.481,857.301,796.538
MIDD,391.757,512.849,514.296,562.536,611.536
MOS,2169.1,1190.2,1291.7,2121.8,1448.6
NYT,205.182,196.931,272.452,260.382,249.59
ODP,691,647,584,549,586
PNTG,#N/A,15.837,17.946,23.595,24.116
PNC,#N/A,#N/A,#N/A,#N/A,#N/A
PG,17873,17559,17353,17254,17336
PGR,#N/A,#N/A,#N/A,#N/A,#N/A
PRSC,36.421,66.227,51.428,62.625,45.574
SMG,422.6,465.3,501.2,423,514.5
SHW,1813.68,1977.543,2206.156,2662.951,3402.9
SO,7071,8019,9435,8880,8475
JOE,3.351,10.931,13.176,38.501,41.61
TKR,436.8,329.5,441.5,605.4,691.8
TJX,4162.666,4303.781,4524.721,4753.158,4958.782
TTC,350.872,398.997,419.274,435.69,417.488
TRV,#N/A,#N/A,#N/A,#N/A,#N/A
DIS,15197,16786,16591,17925,15877
WEN,429.671,377.088,397.54,385.686,405.535
WU,1426.2,1358.2,1208.4,1381.9,1308.1
WMB,3291,3513,3583,3795,4115
TMO,4182.7,4616.9,5300,6138,6536
TPRE,#N/A,#N/A,#N/A,#N/A,#N/A
THO,322.02,444.669,658.069,725.327,510.06
TIF,1071.043,996.1,977.7,1026.1,1015.1
TMST,14.5,12.6,52.2,101.4,10.7
TWI,43.221,33.049,56.066,98.444,24.668
TVTY,98.486,104.4,126.976,138.472,216.956
TMUS,6762,9334,10245,11794,13088
TOL,470.227,513.182,672.544,811.475,752.949
TMP,#N/A,#N/A,#N/A,#N/A,#N/A
TR,113.093,111.194,91.716,91.974,88.985
BLD,95.657,134.499,185.775,269.342,342.309
TSCO,774.077,837.038,852.216,879.088,939.198
TT,1853.9,1952,2079.4,2373.1,2519.4
TDG,1192.465,1423.73,1630.489,1804.812,2238.307
TG,93.681,70.632,81.081,100.185,84.303
THS,379.168,642.895,598.8,459.3,453.8
TREX,92.49,118.453,159.74,193.266,202.23
TPH,329.244,300.662,348.762,383.457,283.362
TRMB,376.9,387.3,454.7,606.6,652.7
TRN,1527.6,1007.4,512.6,525.6,660.2
TSE,360.009,456.9,556.9,403.8,190.2
TRIP,326,268,235,299,313
TBK,#N/A,#N/A,#N/A,#N/A,#N/A
TGI,468.984,34.393,561.434,173.617,74.31
TBI,143.485,141.141,123.679,117.668,117.313
TFC,#N/A,#N/A,#N/A,#N/A,#N/A
TRUP,-14.233,-2.852,16.49,21.467,25.764
TRST,#N/A,#N/A,#N/A,#N/A,#N/A
TRMK,#N/A,#N/A,#N/A,#N/A,#N/A
TTEC,176.312,185.894,209.453,189.379,202.505
TTMI,253.063,367.919,390.659,403.616,353.874
TUP,365,379.1,415,369.2,246
TWTR,-124.313,136.26,441.305,874.523,831.922
TYL,133.517,181.606,216.058,213.292,233.039
TSN,3049,3585,4018,4217,4034
USB,#N/A,#N/A,#N/A,#N/A,#N/A
USCR,119.405,145.803,160.2,168.4,161.1
USPH,55.457,58.443,65.037,70.06,77.545
SLCA,85.146,19.003,266.975,281.498,199.436
UDR,540.918,597.332,667.287,794.466,732.224
UFPI,176.88,208.056,234.002,262.001,313.29
UGI,1548.7,1416.5,1228.2,1416.1,1390.5
ULTA,556.545,686.028,883.69,1062.29,1153.319
UCTT,17.881,34.13,100.364,82.783,75.3
UMBF,#N/A,#N/A,#N/A,#N/A,#N/A
UMPQ,#N/A,#N/A,#N/A,#N/A,#N/A
UA,512.287,578.941,325.239,341.2,399.703
UAA,512.287,578.941,325.239,341.2,399.703
UFI,57.588,61.416,63.322,52.608,36.024
UNF,278.208,268.582,256.595,280.711,315.708
UNP,10064,9281,10211,10708,10770
UIS,243.5,285.3,388.6,467.9,414.3
UAL,7808,7133,5882,5840,6819
UBSI,#N/A,#N/A,#N/A,#N/A,#N/A
UCBI,#N/A,#N/A,#N/A,#N/A,#N/A
UFCS,#N/A,#N/A,#N/A,#N/A,#N/A
UIHC,#N/A,#N/A,#N/A,#N/A,#N/A
UNFI,306.86,302.767,317.889,329.738,490.594
UPS,9429,7295,9776,9281,10236
URI,2778,2703,3008,3689,4209
X,18,383,1065,1559,587
UTHR,731.936,1093.3,1055.9,846.7,667.1
UNH,#N/A,#N/A,#N/A,#N/A,#N/A
UNIT,446.153,661.548,762.441,792.747,827.006
UNVR,592.6,470.4,567.2,612.1,654.6
UVV,191.978,224.266,227.99,207.099,230.582
OLED,46.361,89.731,173.149,87.309,192.761
UEIC,61.771,58.164,52.371,37.037,47.741
UHT,42.745,45.07,49.153,51.681,51.62
UHS,1640.798,1691.68,1725.343,1680.344,1803.931
UVE,#N/A,#N/A,#N/A,#N/A,#N/A
UNM,#N/A,#N/A,#N/A,#N/A,#N/A
UE,147.422,181.387,241.925,186.238,193.282
URBN,496.799,505.229,475.998,397.122,501.148
UBA,65.262,68.509,74.001,82.959,82.631
ECOL,124.353,109.861,109.877,120.313,154.413
USNA,151.64,152.104,148.464,205.08,168.984
VFC,2593.877,1897.895,1897.895,1565.6,1532.691
VLO,7729,5592,5867,6743,6173
VLY,#N/A,#N/A,#N/A,#N/A,#N/A
VMI,304.661,338.327,352.037,334.918,322.114
VVV,353.2,490,560,430,436
VNDA,-26.631,-6.703,-13.919,24.694,25.702
VREX,142.3,126.4,116.1,103.4,103.8
VAR,602.515,515.3,452.7,569.8,580.5
VGR,252.752,275.282,260.589,240.577,283.964
VECO,20.726,-12.369,8.611,21.551,5.202
VTR,1730.201,1864.586,1932.144,1835.762,1913.836
VRA,78.95,72.461,59.113,40.067,43.143
VRSN,667.437,744.739,757.6,815.759,852.457
VRSK,898,980.8,1045.4,1131.7,1154.8
VBTX,#N/A,#N/A,#N/A,#N/A,#N/A
VRTV,194.3,176.6,133.9,122.8,120.7
VZ,48823,41838,43473,47410,47189
VRTX,-402.33,72.596,459.326,737.638,1276.42
VIAC,2799,2875,3128,17722,17496
VVI,80.964,119.206,139.091,133.955,139.468
VSAT,253.277,262.995,255.581,163.465,250.493
VTRS,2798.1,3091.1,3418.6,3353.1,0
VIAV,83.2,87.6,92.9,93.6,189.1
VICR,8.875,2.124,7.533,41.715,24.155
VRTS,59.797,68.61,119.57,120.143,168.09
VRTU,67.991,61.024,28.608,57.771,102.648
V,9572,10526,12719,14174,16057
VSH,356.757,277.784,498.159,644.767,450.873
VSTO,303.899,335.576,305.927,157.628,88.4
VC,265,323,356,296,205
VG,117.435,121.939,137.015,122.891,104.631
VNT,#N/A,#N/A,566.9,586,647.6
VNO,1535.967,1075.064,985.85,1158.527,4117.312
VMC,846.912,970.771,974.506,1113.82,1295.293
WRB,#N/A,#N/A,#N/A,#N/A,#N/A
GWW,1605.287,1407.967,1410,1598,1615
WNC,219.454,240.965,175.474,176.563,187.483
WAB,700.501,572.456,565.827,659.934,1332.5
WDR,417.352,251.501,204.463,263.271,127.515
WBA,6663,8087,7914,7908,7165
WD,272.592,306.447,374.409,365.922,404.455
WMT,36320,33559,32115,31732,33835
HCC,#N/A,-3.757,513.521,616.515,483.891
WAFD,#N/A,#N/A,#N/A,#N/A,#N/A
WRE,171.88,185.689,188.656,164.049,167.532
WM,3477,3804,4088,4307,4426
WAT,670.091,733.596,779.366,854.545,828.597
WSO,350.583,366.446,373.341,384.551,381.198
WTS,115.9,208.9,225.4,240.3,248
WDFC,71.854,77.813,76.178,86.404,89.975
WBS,#N/A,#N/A,#N/A,#N/A,#N/A
WEC,1965.6,2486.8,2570,2272.1,2468.5
WRI,331.398,407.007,361.575,345.887,300.306
WFC,#N/A,#N/A,#N/A,#N/A,#N/A
WELL,2045.563,2205.342,1946.822,2052.329,2287.898
WERN,392.685,335.798,361.459,429.466,453.399
WST,215.6,306.2,326.4,359.2,400.6
WABC,#N/A,#N/A,#N/A,#N/A,#N/A
WDC,2923,2064,4350,5879,2065
WRK,1703.5,1883.3,2194.2,2587.5,2971.1
WEX,320.007,363.433,467.499,586.364,642.47
WY,1234,1563,1998,1904,1186
WHR,2155,2146,2144,1810,1702
WSR,40.822,44.038,58.325,59.777,61.722
WSM,671.62,656.889,665.679,657.013,658.659
WLTW,787,1647,1880,1724,2089
WING,25.7,32.211,37.249,42.84,48.385
WGO,64.394,74.886,138.877,181.746,180.527
WTFC,#N/A,#N/A,#N/A,#N/A,#N/A
WETF,140.376,65.281,55.315,86.254,47.362
WWW,268.4,245.7,254.6,298.7,287.2
WWD,342.541,322.665,351.626,393.246,443.556
WRLD,183.29205,295.36835,271.48186,241.89072,264.37521
INT,245.5,243,269.5,308.2,329.3
WWE,107.031,118.632,146.122,186.328,200.73
WOR,276.498,268.968,290.174,280.006,238.527
WPX,349,178,577,1325,1339
WW,229.641,253.444,331.508,433.073,339.64
WYND,1291,1241,819,894,978
WH,330,364,372,495,573
WYNN,1059.066,1081.109,1634.625,1803.187,1605.192
XEL,3385.405,3643.769,3812,3719,3983
XNCR,-15.979,24.006,-41.093,-76.119,18.322
XHR,279.092,274.45,265.185,282.281,287.401
XRX,1759,1553,1682,1637,1573
XLNX,854.483,738.322,762.02,816.127,1061.159
XPER,198.551,168.371,124.127,165.205,43.086
XPO,472.9,1155.3,1308.5,1430,1603
XYL,625,660,849,976,966
YELP,8.48,33.822,57.411,68.704,97.072
YETI,135.441,99.877,84.736,126.933,118.73
YUM,1774,1847,1959,1954,2059
ZBRA,513,597,659,791,857
ZBH,1896.9,2382.6,2463.5,2211.9,2214
ZION,#N/A,#N/A,#N/A,#N/A,#N/A
ZTS,1281,1644,1969,2189,2430
ZUMZ,107.138,81.475,69.559,77.648,89.006
ZYXI,0.143,1.075,9.23,10.818,11.844
