Symbol,Q3 2019 Shares Outstanding,Q4 2019 Shares Outstanding,Q1 2020 Shares Outstanding,Q2 2020 Shares Outstanding,Q3 2020 Shares Outstanding
UDR,292.84235,293.053,294.631,294.88602,295.06686
ULTA,58.849,57.161343,56.309475,56.31171,
USB,1575.827,1534,1521.261,1506.2891,1506.3625
UAA,188.144,188.202,188.306,188.45248,188.5321
UA,228.653,228.914,229.07,231.19133,231.50505
UNP,704.53,694.2,678.5539,678.56805,678.8388
UAL,256.92148,253.044,247.95111,290.4468,290.9839
UNH,947.681,947.415,948.573,948.3795,950.33575
UPS,698.335,700.755,702.088,704.1169,707.08124
URI,77.162796,75.156,74.07793,72.04949,72.08028
UHS,81.23152,80.32497,78.351105,77.66928,77.700356
UNM,208.6309,206.268,202.971,203.42046,203.55698
VFC,398.177,399.374,394.72028,389.55942,389.64865
VLO,414.403,410.653,409.337,407.6986,407.75726
VAR,91.061,90.909,90.666,90.81494,91.16134
VTR,372.585,372.736,372.86,373.07486,373.08755
VRSN,118.372,117.409,116.418,115.539474,114.85368
VRSK,163.506,163.87,163.076,162.25911,162.38591
VZ,4136,4135.784,4140,4137.9956,4138.094
VRTX,257.035,257.15,259.269,259.2767,260.46735
VIAC,351.864,562.98346,562.71674,563.1057,563.7714
V,1726.9714,1711.838,1706.024,1687.1124,1686.0072
VNT,#N/A,#N/A,#N/A,#N/A,134.8286
VNO,190.813,190.85,190.986,191.11572,191.15114
VMC,132.287,132.355,132.555,132.43433,132.44814
WRB,183.176,183.675,183.422,178.7243,178.0038
WAB,191.69856,191.682,191.711,190.28862,190.29955
WMT,2844.284,2837.175,2833.702,2831.9534,
WBA,892.541,885.862,877.22,866.5341,
DIS,1801.379,1802.398,1805.439,1806.2667,1807.0634
WM,424.232,424.241,423.627,422.02502,422.46118
WAT,66.759445,64.43438,62.158047,61.908684,61.925972
WEC,315.436,315.43454,315.43454,315.43454,315.43454
WFC,4269.1,4134.4,4089.398,4099.9976,4120.047
WELL,405.247,410.257,410.556,417.4793,417.3007
WST,73.749,73.991,73.8,73.602234,73.84068
WDC,296.00388,297.405,298.932,299.70102,302.5258
WU,419.9,418,413.1224,410.90482,411.00397
WRK,257.342,258.228,258.456,259.255,259.63635
WY,744.929,745.142,745.519,746.206,746.267
WHR,63.527,63.2,62.678,62.163067,62.293823
WMB,1212.022,1212.049,1212.495,1213.197,1213.5585
WLTW,128.994,128.573,128.721,129.6,128.85841
WYNN,107.616,107.355,107.516,107.86826,107.84797
XEL,524.38403,524.3881,524.669,525.17084,525.3423
XRX,218.963,212.59,212.789,212.93515,205.957
XLNX,252.605,251.46739,248.83656,243.19437,244.314
XYL,180.029,180.079,180.223,179.9153,179.95929
YUM,304.286,302.462,300.822,300.98596,301.39963
ZBRA,54.116,53.921,53.06499,53.091564,53.339844
ZBH,205.315,205.684,206.682,206.80211,207.04984
ZION,170.373,165.057,164.013,163.86195,163.978
ZTS,477.558,476.299,474.934,474.94077,475.1447
