Symbol,Q3 2019 Debt,Q4 2019 Debt,Q1 2020 Debt,Q2 2020 Debt,Q3 2020 Debt
EXPE,5463,5589,7377,10096,9348
EXPD,375.422,391.714,377.392,430.25,428.128
EXR,5091.049,5326.107,5395.971,5352.773,5547.315
XOM,52887,52767,59612,69515,68799
FFIV,0,342.303,755.605,785.208,727.037
FB,9563,11074,10814,11004,11144
FAST,685.4,590.6,699.1,659.7,651.5
FRT,3423.008,3502.284,4500.554,4607.555,4605.822
FDX,33217,33442,36121,38029,
FIS,20747,20787,20377,19868,20189
FITB,19939,16796,22555,17892,17102
FE,21049,21271,21952,22176,22580
FRC,13728.532,15204.996,18918.503,18121.446,16253.577
FISV,23214,22642,21968,21874,21259
FLT,4567.694,5135.385,5256.311,4447.641,4492.579
FLIR,785.414,716.154,878.28,880.746,831.212
FLS,1541.885,1564.88,1549.96,1550.919,1877.645
FMC,3782.7,3453.5,3966.1,3712.5,3401.4
F,155378,156721,168693,176483,158561
FTNT,41.6,46.1,43.1,43.3,48.2
FTV,6233.1,6542.3,6283.9,5901.4,5924.1
FBHS,2628.1,2357.2,2569.2,2383.4,2225.6
FOXA,7357,7324,7319,8520,8483
FOX,7357,7324,7319,8520,8483
BEN,747.7,1114.3,1619.9,1683.4,#N/A
FCX,10175,10074,10074,9914,10030
GPS,7833,7677,7967,8247,
GRMN,56.293,64,52.834,60,58.416
IT,3038.672,3092.655,3074.883,2857.538,2846.08
GD,15402,13433,19412,15970,14791
GE,96414,94044,88221,84808,82406
GIS,14252.5,14038.5,13918.5,13621.3,
GM,105709,104573,126500,128133,118517
GPC,4489.863,4522.397,4438.821,3973.303,3686.419
GILD,25300,25318,24097,24102,29290
GL,1584.504,1647.726,1804.922,2103.18,1947.264
GPN,10070.092,10075.038,10081.809,9713.075,9707.833
GS,424268,409766,411842,399955,407780
GWW,2401,2444,3341,3337,2400
HAL,11429,11503,10851,10817,10821
HBI,4341.517,3896.4,5012.053,4629.948,4481.782
HIG,5055,5049,4349,4350,4351
HAS,1848.562,4191.015,5425.932,5399.417,5362.714
HCA,36029,35571,36358,32473,32599
PEAK,6756.729,6508.224,6545.912,6905.816,6554.897
HSIC,1339.137,998.348,1583.358,1353.619,1396.269
HSY,4738.608,4479.857,5290.983,5293.818,5150.086
HES,7414,7932,8930,8896,8945
HPE,13820,15015,17829,20546,
HLT,8937,9163,10608,11408,11444
HFC,2923.358,2971.205,2963.094,2937.037,3612.807
HOLX,3111.3,3186.7,3666.4,3407.7,3038.8
HD,35051,37377,41750,40572,
HON,19322,16707,16856,22849,22998
HRL,250,379.52,376.262,1363.311,
HST,5000,4400,5904,5150,6250
HWM,6607,6205,7377,5213,5208
HPQ,5137,6030,6633,7418,
HUM,6508,6114,7955,7782,7783
HBAN,12272,12688,12622,9899,9396
HII,1757,1485,1942,2452,2466
IEX,916.348,934.415,1096.258,1155.76,1153.665
IDXX,1007.277,1070.428,1265.023,1106.228,990.552
INFO,5125.5,5607.6,5777.2,5336.3,
ITW,7826,7937,7694,7769,7945
ILMN,1871,1881,1893,1891,1905
INCY,74.273,72.079,71.565,75.709,70.863
IR,1656.7,1669.5,3509.9,3895.9,3928.5
INTC,29646,29706,39919,38347,36563
ICE,8164,8153,8595,8682,17647
IBM,71494,68158,69453,69765,70385
IP,10787,14423,16957,16202,15442
IPG,5311.2,5023.1,5867.6,5572.8,5699.1
IFF,4697.69,4677.963,4332.474,4366.901,4331.724
INTU,775,754,663,3636,
ISRG,77,76.4,0,0,0
IVZ,8152.3,8679.7,9114.6,9011.5,9033.7
IPGP,69.099,67.418,45.745,44.984,44.482
IQV,12088,12194,12573,12663,13000
IRM,10458.252,10616.514,10825.383,11665.748,11066.305
JKHY,74.23,70.971,123.021,68.632,70.208
J,1401.146,2596.134,4047.472,3076.978,#N/A
JBHT,1415.212,1420.24,1302.756,1307.019,1303.353
SJM,5878.6,5574.2,5783.5,5522.3,
JNJ,30210,28681,27583,30394,37758
JCI,7219,8394,8163,9236,9026
JPM,620071,544043,612606,629918,585133
JNPR,1891.5,1884.3,1866.5,1882.2,1873.3
KSU,2821.5,3377.1,3295.5,3835,3826
K,8345,8469,9032,9093,9176
KEY,16110,14288,20789,15725,13725
KEYS,1792,1952,1950,1987,
KMB,8161,8151,8448,8073,8368
KIM,5404.249,5408.478,5800.081,5440.742,5446.271
KMI,37231,34721,34945,34447,34717
KLAC,3528.537,3502.434,3539.981,3569.549,3519.252
KHC,31292,29845,32779,28860,28417
KR,20766,21178,20643,20626,
LB,9120,9078,9037,10051,
LHX,7926,7735,7921,7714,7666
LH,7437.8,7107.6,7117.6,7113.9,6683.8
LRCX,4583.851,4563.585,5260.754,5995.089,5833.94
LW,2414.5,2428.2,3713.1,3063.1,
LVS,12267,12825,12322,13838,13912
LEG,2406.5,2278.5,2623.9,2304.7,2127.4
LDOS,3452,3444,4737,5531,5075
LEN,9573.696,9271.607,9075.177,8269.919,
LLY,15710.5,15925.6,17230.3,16328.2,16922.1
LNC,6581,6607,6748,6736,6714
LIN,14156,14932,16875,17480,17803
LYV,3974.045,4805.488,5189.23,6426.636,6482.904
LKQ,5220.25,5400.88,5087.12,4579.332,4448.261
LMT,14633,13754,12689,12674,12675
L,12176,12240,11968,10005,10408
LOW,22287,23750,26225,26185,
LUMN,36895,36452,36342,34773,32993
LYB,13601,13551,14847,15496,15499
MTB,12941.274,7598.467,6380.615,6373.589,5505.008
MRO,5734,5709,5671,5660,6045
MPC,31387,31317,34188,34641,33524
MKTX,92.031,97.991,96.301,94.701,93.708
MAR,11778,11952,13216,12769,11959
MMC,14866,14224,15872,15435,14985
MLM,3420.839,3260.2,3745.9,3226.6,3099.4
MAS,3185,2973,2933,2929,2935
MA,8219,9289,12466,12498,12574
MKC,4324.2,4573.8,4417.5,4294,
MXIM,1056.067,1054.115,1051.997,1052.781,1051.159
MCD,45435.2,47556,52311.5,51922.3,51286.4
MCK,10318,11995,9401,9433,9644
MDT,26637,26596,25742,28690,
MRK,27108,27350,27998,30874,28741
MET,16734,16851,17959,17967,18966
MTD,1261.76,1379.739,1569.418,1200.175,1224.247
MGM,15531.933,15609.504,20405.67,19991.174,20061.281
MCHP,9954.9,9734.4,9621.4,9366.5,9217.7
MU,6161,5973,7226,7176,
MSFT,85974,87147,84025,82110,83216
MAA,4522.727,4501.848,4527.774,4518.449,4471.616
MHK,3102.045,2909.91,3077.009,3056.449,2955.572
TAP,9417.5,9203.8,9633.9,8842.4,8523.4
MDLZ,20204,19007,20223,20183,20598
MNST,21.695,28.463,28.114,21.111,21.731
MCO,5822.5,6155,7340,6874,6893
MS,277183,274809,265361,280467,266601
MOS,4879.3,4808.4,5760.8,5391,4978.3
MSI,6346,5748,6502,6136,5898
MSCI,2762.55,3258.214,3353.432,3542.659,3540.086
MYL,13272.7,12924.3,12920.1,12420.2,12565
NDAQ,3865,3779,4476,3922,3987
NOV,3270,2777,2763,2781,2554
NTAP,1794,1988,1812,2922,
NFLX,13539.365,16372.494,16265.501,17708.159,18137.133
NWL,7012.9,6397.5,6643,6813,6507
NEM,7565,6909,6872,6803,6787
NWSA,2840,2727,2520,2536,2543
NWS,2840,2727,2520,2536,2543
NEE,41787,43081,47206,46544,48296
NLSN,8990,8790,9245,8897,10481
NKE,6922,6656,13015,12966,
NI,9540.8,9707.6,9872.2,9989.3,10618.5
NSC,12397,13014,12207,12697,12723
NTRS,12853.1,12389.3,14502.8,13374.5,13374.5
NOC,15834,15526,17369,17395,17358
NLOK,4637,4592,4322,3691,3712
NCLH,6508.423,7048.062,8830.524,10572.472,11148.163
NRG,6673,6447,6991,6344,6161
NUE,4457.416,4475.533,4325.839,5373.276,5526.446
NVDA,2548,2643,7578,7695,
NVR,683.82,683.678,682.088,1273.725,1593.73
ORLY,5654.532,5861.885,6450.171,6098.282,6581.386
OXY,48753,40011,39743,39654,39702
ODFL,113.6,111.485,45,144.923,144.927
OMC,6803.7,6848.1,6332.7,6896.2,6934
OKE,12530.218,12749.044,14264.156,14391.162,14361.441
ORCL,53653,53545,73672,70766,
OTIS,#N/A,#N/A,6704,6670,6425
PCAR,10898.4,11261.6,11138.5,10396.6,10392.4
PKG,2741.9,2734.5,2736.1,2733.4,2735.3
PH,9239.688,9900.641,9271.296,8601.558,7942.173
PAYX,986.1,990.6,936,898.1,
PAYC,59.868,61.333,32.198,31.764,31.329
PYPL,4964,5472,8697,9674,9664
PNR,1201.5,1109.2,1533.5,1098,887.8
PBCT,5805.3,6460.8,7230.9,3089,2527.9
PEP,33628,41243,44978,44571,
PKI,2448.244,2256.987,2200.006,2149.231,2028.504
PRGO,3500.1,3502.9,3598.4,4284,3698.6
PFE,53979,53474,52288,63613,63148
PM,32528,31808,28370,29628,29490
PSX,13213,13024,12963,14446,14526
PNW,5571.064,5811.818,6109.882,6707.533,6821.899
PXD,2610,2595,2913,2427,3500
PNC,63518,62433,74699,48326,43410
POOL,724.982,689.742,762.215,623.666,521.934
PPG,6274,5844,7000,7141,6347
PPL,23039,23148,23536,23984,24136
PFG,4159.1,4125.5,3775.7,4239.7,4355.6
PG,30406,29065,36901,35611,31655
PGR,4610.6,4608.6,5583.3,5577.1,5581.6
PLD,11891.345,12377.511,16174.704,16155.422,16966.66
PRU,31115,31534,34496,32977,33398
PEG,16125,16496,17033,17101,17445
PSA,2179.935,1902.493,2438.668,2952.871,2499.57
PHM,3088.552,3183.021,3822.708,3125.09,3122.324
PVH,5032,4652.8,5082.1,5541.5,
QRVO,1090.184,1642.128,1648.118,1876.089,2669.482
PWR,2177.633,1656.06,1954.95,1670.051,1484.811
QCOM,15933,16320,16469,16427,16361
DGX,4545,5416,4590,5137,5149
RL,2824.7,2820.8,3226.9,3961.5,3607.9
RJF,25198,26212,33552,28973,#N/A
RTX,47255,46336,48445,34473,34432
O,7167.606,8029.778,7663.427,8000.595,8559.187
REG,4110.849,4142.462,4636.56,4514.333,4208.61
REGN,712.7,713.9,715.2,2215.9,2694.8
RF,15052,10443,13255,6408,4919
RSG,8881.2,8952.5,9234.7,8910.5,9031.8
RMD,1305.588,1398.989,1506.882,1299.263,1188.935
RHI,272.126,273.826,276.29,280.727,300.001
ROK,2256.9,2622.1,2393.6,2737,2363.7
ROL,523.655,493.268,529.046,471.34,382.992
ROP,6484.1,5552.1,5276.6,5866.4,9704
ROST,3473.583,3487.9,6293.215,6269.333,
RCL,11398.101,11733.493,16711.734,19500.865,19539.192
SPGI,4392,4680,4656,4631,4775
CRM,6493,6253,6208,6185,
SBAC,12250.211,12860.84,12958.73,12923.02,13026.803
SLB,16673,16705,16642,17366,17763
STX,4211,4210,4168,4238,4228
SEE,3995.2,3906.1,3958.4,3879.8,3818.1
SRE,26700,26313,28019,25963,25432
NOW,1124.33,1130.87,1203.121,1198.364,2203.128
SHW,10624.923,10427.5,11515,10609.7,10092
SPG,27162.491,24680.039,28074.791,27788.299,25657.136
SWKS,0,150.9,151.9,179.8,#N/A
SLG,6264.68,5934.256,6649.555,6638.458,5952.574
SNA,1247.1,1219.6,1172.8,1512.1,1513
SO,47783,48686,49594,49765,51935
LUV,4381,3996,6349,11422,12595
SWK,5366.8,4053.7,6339.7,5881.9,5191.2
SBUX,11234.9,20630.4,22919.1,25722.4,25326.7
STT,20835,15470,51411,31273,26940
STE,1303.566,1260.217,1284.444,1202.882,1165.862
SYK,8780,11477,10902,13333,13537
SIVB,908.668,584.264,3713.509,1133.501,1109.15
SYF,20363,19866,17248,16069,15771
SNPS,137.707,858.518,770.341,673.428,
SYY,9343.61,9552.143,11501.282,15077.542,14403.005
TMUS,42957,42334,42021,97779,102587
TROW,146.4,146.3,172.6,166.4,175.3
TTWO,141.062,175.508,177.246,181.108,179.844
TPR,3897.5,3834.7,3854.9,4493.3,4386.5
TGT,14062,13974,16689,16745,
TEL,3965,4492,4821,4547,4609
FTI,5072.2,5561.3,5431.9,5503.1,4858.4
TDY,1066.9,989.5,984.2,982.5,923.7
TFX,2123.594,2031.164,2490.85,2503.708,2218.952
TER,456.141,460.012,464.385,465.887,468.626
TXN,6147,6135,6550,6796,6797
TXT,4457,4091,5308,4993,4997
TMO,17740,18490,19969,21313,21093
TIF,2151.6,2243.2,2708.6,2712.6,
TJX,11470.202,11464.474,16506.528,15660.844,
TSCO,2913.344,2709.166,3387.908,3327.723,3413.218
TT,6136.1,6139.8,6033.8,5714.4,5714.5
TDG,16898.953,18382,18669,20147,20175
TRV,6949,6938,6925,7395,7387
TFC,36893,61678,80488,49894,49179
TWTR,2545.113,3288.685,4136.993,4132.783,4348.554
TYL,24.547,23.209,21.921,20.343,18.65
TSN,11932,12247,12661,12570,11868
UDR,4066.032,4906.082,5082.967,4963.896,5113.992
ULTA,1929.433,1938.347,2788.741,2763.568,
USB,57197,65232,78642,63174,56166
UAA,1299.931,1299.222,2236.793,2278.822,2027.023
UA,1299.931,1299.222,2236.793,2278.822,2027.023
UNP,27654,27033,29541,30068,29661
UAL,20140,20450,23429,24892,33818
UNH,48844,44637,51607,46057,43794
UPS,26464,28167,31620,29945,28751
URI,12360,12139,12304,11111,10753
UHS,4277.699,4310.645,4147.1,3868.401,3940.632
UNM,3549.7,3441.3,3314.1,3793,3378.6
VFC,3577.685,3536.724,5211.328,6734.573,6823.644
VLO,10875,10962,12730,13922,16418
VAR,410,635.7,620.4,682.6,456.1
VTR,12304.38,12409.969,14422.636,12778.948,12295.174
VRSN,1797.253,1796.761,1792.415,1793.579,1794.469
VRSK,2945,3399.7,3333.7,3427.2,3438.7
VZ,130772,133143,139184,134269,137209
VRTX,649.801,673.167,532.952,522.067,546.514
VIAC,10498,20920,20378,21884,21490
V,16729,16688,17892,20879,24070
VNT,#N/A,#N/A,#N/A,#N/A,53.5
VNO,8769.829,8819.823,9430.487,9469.595,9106.378
VMC,3204.453,3202.353,3217.125,3723.895,3730.277
WRB,2569.069,2856.617,2855.257,3144.091,3284.621
WAB,5004.3,4483.2,5017.4,4717.4,4509.2
WMT,75948,72433,75432,69494,
WBA,42055,41924,41776,41837,
DIS,46986,48078.857,59555,68313,58628
WM,13836,13943,13452,12788,10422
WAT,1458.983,1775.169,1987.592,1786.849,1660.553
WEC,12276.3,12798,12716.2,12828.1,13019.7
WFC,357876,338000,334855,296531,275957
WELL,14142.181,15388.765,14429.729,14883.074,14209.074
WST,268.4,329.3,327.3,326.9,325.5
WDC,10469,10091,9877,9820,9615
WU,3497.3,3471.6,3299.6,3320.7,3273.4
WRK,10063.4,10967.3,11595.9,10757.9,9430.6
WY,6752,6533,7458,6329,6004
WHR,6354,5771,7774,7637,7733
WMB,22470,22497,22476,22949,22383
WLTW,6999,6770,6939,6643,6672
WYNN,9721.686,10599.857,11525.165,12929.625,12915.436
XEL,20395,20528,21183,23248,22464
XRX,5155,4636,4636,4333,5404
XLNX,1304.638,1304.998,1306.443,2046.746,2045.224
XYL,2580,2562,2546,3300,3154
YUM,11297,11269,11506,11686,11091
ZBRA,1657,1406,1492,1324,1677
ZBH,8616.8,8501.1,9674.2,8209.3,8290.2
ZION,5821,4022,5560,2213,2599
ZTS,6650,6646,6655,7850,7863
