,Q3 2019 Shareholder's Equity,Q4 2019 Shareholder's Equity,Q1 2020 Shareholder's Equity,Q2 2020 Shareholder's Equity,Q3 2020 Shareholder's Equity
TAP,13162.4,13419.4,12686.6,13002.9,13512.7
MCRI,332.693,341.201,344.094,340.422,353.53
MDLZ,26806,27275,25674,26018,26943
MPWR,734.428,773.491,813.19,848.945,914.569
MNRO,733.576,746.592,734.44,730.72,736.367
MNST,4107.978,4171.281,3870.946,4221.54,4629.321
MCO,472.6,612,582,1041,1497
MOG.A,1322.481,1336.691,1245.678,1245.761,1243.083
MS,82382,81549,85860,86645,88394
MPAA,281.345,284.326,275.52,272.101,287.995
MSI,-1101,-700,-948,-830,-756
MOV,520.681,526.537,369.799,373.671,
COOP,1766,2232,2070,2149,2340
MSA,702.067,725.8,712.596,741.51,772.465
MSM,1510.863,1257.299,1294.903,1314.945,
MSCI,-147.856,-76.714,-354.331,-310.932,-386.586
MTSC,484.059,488.748,481.678,488.856,#N/A
MLI,607.648,643.468,645.687,670.681,717.621
MUR,5676.65,5467.46,4886.149,4568.545,4343.436
MUSA,779,803,746.8,918,895.7
MYE,163.82,166.682,176.223,181.695,187.598
MYRG,350.568,364.471,374.982,389.446,408.6
MYGN,1074.5,1077.2,967.2,918.2,909.3
NBR,2251.705,1982.811,1555.921,1413.147,1255.648
NDAQ,5327,5639,5396,5754,6011
NBHC,753.326,766.92,763.454,776.967,799.357
FIZZ,399.513,422.202,452.337,508.94,
NFG,2139.025,2182.14,2079.959,2225.857,1971.986
NATI,1162.161,1176.35,1280.117,1269.639,1239.198
NOV,8057,7778,5486,5460,5465
NPK,355.891,367.957,334.69,347.695,360.047
NNN,4626.497,4331.675,4300.93,4310.795,4287.205
NSA,915.702,919.63,923.482,917.569,915.229
NTUS,406.158,416.123,398.153,395.473,395.467
NAVI,3240,3336,2035,2115,2254
NBTB,1098.601,1120.397,1112.179,1142.652,1166.111
NCR,1115,1499,1419,1522,1603
NP,405.5,406.3,409.8,358,367
NKTR,1488.711,1405.391,1296.426,1256.24,1170.981
NEOG,690.917,711.871,725.177,751.546,
NEO,497.007,507.408,505.043,654.229,666.363
NTAP,536,282,242,284,
NFLX,6861.505,7582.157,8409.294,9334.753,10333.323
NTGR,622.138,608.693,597.791,606.146,646.267
NTCT,1940.264,1962.807,1937.919,1929.817,1939.32
NJR,1551.717,1827.803,1889.107,1838.927,1844.692
NYCB,5689.327,6711.694,6637.385,6693.013,6734.73
NYMT,1847.508,2205.733,2001.339,2164.705,2253.383
NWL,4137.6,4963.3,3454,3492,3726
NEU,629.338,683.098,639.249,635.285,723.526
NEM,21430,21420,21806,22004,22661
NWSA,8714,8958,7832,7582,7639
NWS,8714,8958,7832,7582,7639
NXRT,419.811,426.241,392.171,354.415,390.914
NEE,36592,37005,36403,37073,37287
NXGN,391.128,399.756,400.494,403.642,419.591
EGOV,239.911,245.928,249.044,258.429,279.342
NLSN,2155,2195,2044,2021,2032
NKE,9351,9045,8055,9224,
NI,5848.5,5986.7,5741.4,5661.8,5424.9
NMIH,873.487,930.42,974.89,1257.037,1307.556
NDSN,1581.045,1634.274,1652.494,1769.912,
JWN,851,979,397,174,
NSC,15238,15184,14884,14861,14941
NTRS,10811.3,11091,10879.7,11382.2,11579.1
NFBK,689.94,715.593,702.316,712.576,757.398
NOC,9731,8819,9062,9712,10467
NWBI,1351.77,1353.285,1341.792,1530.849,1547.231
NWN,844.669,865.999,901.741,884.001,852.775
NWE,2004.524,2039.094,2060.476,2053.556,2054.55
NLOK,6112,8677,10,-503,-476
NCLH,6273.424,6515.579,4374.654,4337.025,4087.766
DNOW,1267,1144,768,747,731
NRG,-1571,1658,1536,1750,1934
NUS,845.8,875.289,800.498,792.012,827.473
NUE,10449.047,10357.866,10168.204,10194.82,10302.414
NUVA,876.614,915.207,886.199,894.89,909.702
NVT,2566.5,2592.5,2576.6,2578.2,2413.4
NVDA,11214,12204,13099,13914,
NVR,2371.457,2341.244,2416.919,2612.412,2918.993
OXY,36080,34232,31295,23346,19860
OII,1297.016,1069.346,630.596,619.346,553.356
OPI,1666.613,1705.754,1690.374,1666.43,1636.672
OFG,1049.076,1045.478,1022.594,1041.284,1064.322
OGE,4186.2,4139.5,3552.7,3564.2,3660.7
OI,335,467,-17,-49,167
OIS,1386.344,1223.967,802.632,778.869,764.338
ODFL,2909.528,3080.717,3016.049,2982.468,3170.833
ONB,2832.53,2852.453,2823.435,2864.255,2921.149
ORI,5793.9,6000.1,5142.9,5858.9,6074.5
OLN,2664.7,2417.5,2289.1,2188.9,1469.1
OLLI,1006.939,1058.885,1094.179,1218.053,
ZEUS,308.648,308.352,306.392,299.938,298.835
OHI,3881.985,4135.428,4021.575,3970.233,3744.56
OMCL,807.533,845.254,878.5,887.461,918.399
OMC,2464.1,2853.9,2447.6,2413,2638.8
OGS,2101.881,2129.39,2189.012,2191.987,2200.017
OKE,6218.906,6225.951,5560.641,6240.652,6146.112
OSPN,254.075,264.021,260.639,257.207,259.216
ONTO,335.772,1264.026,1225.805,1221.209,1237.683
ORCL,15563,14235,12074,9491,
OSUR,301.365,307.145,290.152,381.757,387.892
ORLY,166.219,397.34,108.844,589.1,709.225
OFIX,306.434,327.631,355.369,345.045,354.896
OSK,2599.8,2681.1,2689,2768.9,2850.7
OSIS,541.564,557.716,552.276,572.152,557.54
OTIS,#N/A,#N/A,-4821,-4242,-4024
OMI,491.278,462.154,416.338,395.162,451.335
OC,4483,4631,3487,3624,3852
OXM,516.816,528.598,438.695,431.55,
PCAR,9962.7,9706.1,9637.4,9776.8,10184.4
PPBI,1988.998,2012.594,2002.917,2654.647,2688.085
PCRX,346.162,354.944,374.037,388.148,584.69
PKG,3034.7,3071,3149.9,3133.1,3205.4
PACW,4920.108,4954.697,3390.389,3452.898,3486.231
PLMR,208.462,218.556,260.82,375.243,361.895
PZZA,-341.729,-332.321,-342.309,-307.572,-288.26
PARR,579.51,648.242,430.388,392.476,379.94
PKE,161.163,141.675,140.197,138.96,
PK,6497,6496,5630,5375,5104
PRK,956.14,969.014,981.877,1001.594,1016.996
PH,6096.616,6330.175,6295.99,6113.983,6528.964
PATK,479.938,497.481,495.376,493.268,525.829
PDCO,1455.831,1469.43,834.117,852.616,
PTEN,2942.986,2833.62,2378.893,2228.873,2119.563
PAYX,2569.4,2759.8,2781.4,2778.6,
PAYC,474.898,526.628,599.788,585.853,632.399
PCTY,309.459,331.564,374.375,392.908,386.82
PYPL,16483,16885,15967,17640,18483
PBF,3007.7,3039.6,1948.3,2344.8,1935.4
CNXN,583.144,597.312,602.562,611.213,628.277
PDCE,2359.755,2335.507,2859.964,2644.009,2618.399
PDFS,194.987,196.157,198.469,197.705,264.777
PEB,3645.735,3621.208,3606.307,3467.708,3352.783
PENN,1939.8,1852.7,1278.4,1506.2,2633.7
PVAC,516.658,520.745,684.319,590.539,347.732
PMT,2219.611,2450.915,1823.368,2235.277,2281.266
PNR,1868.8,1953.9,1892.5,1949.7,2049.8
PEN,467.332,485.892,488.933,624.794,622.406
PBCT,7130.7,7947.2,7725.5,7763,7831.5
PEP,14786,13465,12491,13483,
PRDO,401.944,431.295,445.143,478.684,521.671
PRFT,369.248,381.015,393.524,410.053,386.425
PKI,2706.797,2813.824,2759.746,2967.463,3231.681
PRGO,5758.8,5803.8,5786.4,5910.4,5820.3
PRSP,2163,2206,1357,1348,1369
PETS,125.591,127.71,130.01,132.871,136.409
PFE,65103,63142,65026,64336,65259
PGTI,425.632,431.548,445.081,451.01,471.354
PAHC,206.694,217.415,195.345,188.204,192.412
PM,-11010,-11577,-12944,-11997,-12092
PSX,24857,24910,21372,20715,19722
PLAB,769.892,770.676,769.191,790.242,
DOC,2382.284,2408.948,2602.289,2670.971,2643.076
PPC,2319.862,2525.663,2465.913,2364.185,2420.853
PNFP,4294.63,4355.748,4385.128,4695.647,4787.308
PNW,5552.666,5430.648,5469.418,5489.562,5841.386
PXD,11856,12119,12211,11740,11654
PIPR,696.741,731.283,729.559,745.956,769.494
PBI,25.412,286.096,29.43,44.58,79.125
PLT,659.107,588.077,-82.816,-149.711,-145.005
PLXS,865.576,908.372,892.558,944.821,977.48
PNM,1682.442,1690.227,1638.751,1708.029,1784.845
PII,1013.043,1107.999,1001.6,753,947.5
POOL,405.97,410.18,348.398,486.791,589.501
POST,2925.9,3357.8,2907.1,2916.3,2854.5
PCH,1235.729,1226.831,1149.614,1125.476,1196.077
POWL,299.153,301.673,300.131,303.571,#N/A
POWI,565.328,724.546,743.83,759.472,779.797
PPG,5247,5284,4723,4832,5310
PPL,11902,12991,13241,13044,13686
PRAA,1094.419,1169.388,1073.625,1162.989,1239.104
PRAH,946.743,1089.991,1107.417,1167.4,1325.266
PFBC,459.08,470.015,473.785,488.729,503.867
PBH,1112.79,1156.494,1170.971,1227.014,1278.217
PSMT,816.829,817.893,818.666,831.719,
PRI,1607.811,1652.491,1530.114,1642.68,1720.446
PFG,14804.2,14618,12907.5,15243.1,15650.9
PRA,1589.458,1511.913,1427.509,1474.39,1329.893
PRG,1867.655,1737.259,1446.614,1521.199,1638.682
PRGS,330.282,327.957,339.961,368.166,
PLD,22517.21,22653.127,32259.442,32242.928,32097.175
PUMP,944.1,969.305,961.516,938.429,911.767
PB,4126.806,5970.835,5855.574,5948.122,6034.877
PRLB,564.097,585.79,587.74,601.249,625.821
PFS,1397.833,1413.84,1412.589,1410.407,1601.569
PRU,65798,63115,60447,65897,66217
PSB,1759.559,1745.676,1755.854,1753.677,1757.482
PTC,1201.998,1247.817,1274.081,1327.567,1438.248
PEG,14925,15089,15249,15491,15836
PSA,8774.135,9062.911,9013.078,8992.691,8434.127
PHM,5181.592,5458.18,5530.391,5851.668,6240.015
PVH,5985.1,5811.5,4513.4,4583.5,
QEP,2770,2660.6,3026,2844.9,2798.6
QRVO,4265.494,4339.377,4292.665,4351.245,4407.166
KWR,1202.018,1240.762,1162.123,1166.909,1225.944
QCOM,4909,4513,3045,3306,6077
QLYS,361.023,386.803,386.73,407.774,400.299
NX,330.187,329.933,323.957,339.938,
PWR,3907.406,4050.292,3790.492,3914.429,4151.95
DGX,5605,5641,5657,5831,6400
QDEL,534.163,559.82,605.199,611.709,849.247
QNST,228.091,233.871,249.207,255.944,273.288
RCM,238.6,247.2,266,286.2,308.2
RDNT,134.663,151.685,123.375,147.808,157.205
RL,2913.6,3116.5,2693.1,2555.5,2544.1
RMBS,961.283,970.918,965.698,965.19,958.246
RRC,4158.192,2347.488,2474.588,2335.816,1662.504
RAVN,316.178,314.646,312.424,317.551,
RJF,6581,6842,6798,6965,7114
RYAM,639.008,682.798,639.618,648.726,700.144
RYN,1425.064,1439.981,1313.393,1457.241,1429.219
RTX,40468,41774,39411,67225,68379
RMAX,494.618,497.886,499.9,502.278,514.093
RC,719.747,825.412,757.928,794.596,805.27
RLGY,2179,2092,1631,1621,1729
O,9293.419,9774.456,10388.015,10344.449,10470.527
RRGB,367.791,360.52,184.369,158.091,153.194
RWT,1785.059,1827.231,725.202,936.576,1053.464
RBC,2301.3,2351.1,2270.6,2319.1,2421.9
REG,6262.739,6213.348,6199.422,6121.983,6039.594
REGN,10504.4,11089.7,12133,9057.4,10125.5
RGNX,468.395,450.197,420.152,397.861,415.66
RF,16581,16295,17332,17602,17904
RGS,283.739,275.061,197.536,124.703,89.541
RGA,11523.734,11601,9301,12553,13214
RS,5073.4,5206.6,4892.2,4953.9,5039.8
RNR,5951.235,5971.367,5683.526,7347.172,7390.821
RNST,2119.659,2125.689,2070.512,2082.946,2104.3
REGI,637.618,1131.906,1190.923,1170.493,1184.238
RCII,431.74,458.963,476.023,486.576,542.337
RGEN,1045.118,1059.768,1069.758,1100.027,1124.87
RSG,7976.5,8118.2,8117.2,8227.1,8370.1
REZI,1573,1602,1521,1495,1605
RMD,2117.251,2258.106,2256.431,2497.027,2678.86
RGP,300.265,302.802,303.661,309.928,
ROIC,1170.574,1179.348,1150.384,1172.466,1185.559
RPAI,1644.338,1632.477,1594.243,1590.367,1582.77
REX,396.565,401.007,389.488,386.354,
REXR,2422.074,2556.177,2612.97,2893.658,2895.967
RH,-63.22,18.651,19.132,128.491,
RLI,999.62,995.388,915.705,1051.458,1099.34
RHI,1111.83,1143.683,1129.925,1156.706,1194.029
ROK,404.2,717,620.8,770.5,1027.8
ROG,914.634,933.9,937.809,962.582,987.024
ROL,806.897,815.75,800.371,862.83,932.716
ROP,8571.3,9491.9,9591.3,9879.7,10160.9
ROST,3276.779,3359.249,2817.392,2867.199,
RCL,11976.907,12163.846,10231.775,8963.905,8328.594
RGLD,2190.329,2216.309,2240.236,2272.217,2350.063
RES,855.175,830.333,671.235,648.653,637.555
RPM,1400.692,1350.512,1262.445,1449.594,
RPT,770.85,828.24,792.634,787.353,786.357
RUTH,86.711,94.145,74.081,107.628,104.538
R,2476.987,2476.31,2242.736,2159.092,2150.558
SPGI,346,479,-250,210,442
STBA,982.447,1191.998,1176.251,1135.777,1142.115
SBRA,3282.417,3488.46,3395.213,3361.251,3364.34
SABR,948.188,939.081,673.34,316.722,631.999
SAFE,843.768,1091.812,1229.61,1236.606,1247.187
SAFT,792.077,808.406,762.109,816.978,837.851
SAIA,792.371,815.226,843.387,875.09,918.466
SAIL,421.141,434.127,432.704,447.771,456.84
CRM,33279,33885,34565,38440,
SBH,-60.323,2.199,-53.195,-69.133,15.443
SAFM,1417.675,1369.372,1371.442,1399.288,
SANM,1642.573,1679.385,1617.749,1653.482,1629.916
BFS,475.949,374.981,378.12,372.108,367.018
SBAC,-3560.374,-3667.007,-4317.23,-4304.992,-4486.398
SCSC,905.751,927.58,897.678,678.246,671.227
SLB,23913,23760,15561,12040,11941
SCHL,1260,1197.9,1179.2,1146,
SWM,574.8,597.7,592,607.4,628.5
SAIC,1380,1417,1395,1437,
SGMS,-2223,-2212,-2466,-2593,-2662
SBCF,962.678,985.639,991.787,1030.603,1098.341
CKH,811.865,811.726,812.225,821.699,827.575
STX,1770,1830,1792,1787,1821
SEE,-304.1,-196.2,-181.9,-70.1,24.5
SEIC,1703.307,1738.778,1734.266,1708.625,1729.433
SEM,754.718,770.972,808.638,992.883,1038.586
SIGI,2137.376,2194.936,2096.456,2298.675,2393.613
SRE,18640,19949,20137,23626,23248
SMTC,688.721,676.954,661.474,677.493,
SENE.A,#N/A,,,,
SXT,896.673,881.589,842.658,860.716,896.785
SCI,1775.493,1823.313,1751.093,1754.281,1743.072
SVC,2608.986,2505.878,2382.266,2345.721,2242.084
NOW,1429.473,2127.941,2266.095,2478.806,2673.716
SFBS,810.035,842.18,881.383,914.086,949.089
SHAK,290.616,298.817,300.418,421.578,417.692
SHEN,475.854,469.422,480.65,511.457,548.182
SCVL,300.748,297.363,279.458,288.987,
SSTK,316.253,328.145,327.727,343.5,390.24
SBNY,4741.856,4769.823,4763.961,4811.928,4983.199
SIG,1667.2,1839.6,1601.2,1542,
SLGN,968.53,1023.322,1020.575,1089.694,1218.863
SLAB,1083.754,1115.051,1099.603,1157.646,1170.051
SFNC,2547.071,2988.924,2845.4,2904.703,2942.241
SPG,2672.529,2526.398,2181.599,2029.34,1752.851
SSD,876.947,891.957,841.594,894.212,960.8
SLP,39.186177,40.862126,46.586888,156.035945,
SITC,2004.426,1978.414,1964.397,1956.513,1956.471
SIX,-635.187,-716.118,-852.864,-970.782,-1076.705
SKX,2174.502,2314.665,2347.722,2224.715,2402.402
SKYW,2116.26,2175.014,2163.438,2142.962,2185.1
SWKS,4122.3,4267.3,4142.8,4182.4,4164.2
SLG,5978.433,5724.6,5529.485,5345.42,5258.281
SNBR,-164.487,-159.431,-155.909,-163.018,-102.827
SLM,3183.132,3311.836,2120.583,2016.919,2200.446
SM,2843.75,2748.994,2341.717,2280.832,2185.108
SGH,271.784,307.051,264.519,282.104,
SNA,3303.8,3409.1,3331.3,3486.7,3619
SEDG,732.012,811.67,866.418,924.801,1032.037
SAH,902.425,944.764,721.987,744.702,774.102
SON,1841.676,1802.682,1744.264,1797.338,1871.145
SJI,1416.787,1423.785,1497.283,1666.329,1627.717
SBSI,810.453,804.58,795.8,817.605,839.148
LUV,9931,9832,9075,10878,9769
SWX,2423.71,2505.914,2547.895,2611.295,2619.238
SWN,3135,3246,1701,823,384
SPTN,689.296,687.538,685.692,709.251,723.451
SPPI,234.719,190.393,153.768,130.597,168.36
SR,2543,2586,2665.6,2558.4,2522.3
SRC,3332.78,3413.249,3349.408,3283.808,3332.181
SPOK,260.797,250.094,242.78,245.681,248.022
SFM,559.921,581.952,670.722,743.277,807.946
SPSC,345.068,354.876,355.188,373.31,394.94
SPXC,461.3,502.4,515.1,552.1,583.1
FLOW,987.7,882.7,809.1,990.1,1011.8
STMP,622.246,665.625,680.308,765.27,908.639
SMP,494.052,504.228,496.613,510.656,544.904
SXI,472.921,489.604,466.804,461.632,476.568
SWK,8262.3,9136.3,8953.4,9959.5,10372.9
SBUX,-6232.2,-6759.9,-7530.1,-8621.6,-7805.1
STT,25209,24431,23861,24873,25558
STLD,4056.641,4075.834,4113.526,4145.25,4201.183
SCL,854.209,891.783,866.778,897.429,938.193
SRCL,2473.7,2330.9,2276.2,2291.6,2333.6
STE,3228.668,3382.68,3393.876,3474.664,3647.145
STL,4520.967,4530.113,4422.424,4484.187,4557.785
SHOO,838.738,828.501,761.207,755.084,756.12
STC,753.599,747.306,731.751,781.105,943.881
SF,3501.715,3614.791,3470.326,3884.06,4030.687
SNEX,594.2,614.9,648.6,688.8,#N/A
STOR,4309.091,4485.385,4598.709,4730.126,4908.724
STRA,1444.659,1462.71,1459.147,1484.55,1705.058
SYK,12315,12807,13115,12754,12986
RGR,277.632,285.458,297.819,311.547,241.282
INN,1181.355,1173.778,1118.202,1065.249,1031.341
SXC,520.6,491.6,484.2,486.4,478.9
RUN,926.829,964.731,872.473,888.167,1033.545
SUPN,557.257,595.428,613.383,665.974,708.879
SRDX,122.516,123.326,124.966,130.583,131.055
SIVB,5890.68,6470.307,7034.749,7319.373,7792.935
SYKE,838.151,874.475,843.604,862.785,853.778
SYNA,654.8,691.3,712.9,819.1,838.7
SYF,15120,15088,11970,11899,12099
SYNH,2867.516,3029.654,2977.922,2999.684,3096.478
SNX,3788.45,3855.688,3834.381,4093.582,
SNPS,4083.013,4148.827,4275.086,4595.925,
SNV,4868.838,4941.69,5065.205,5052.968,5064.542
SYY,2454.748,2527.526,2028.89,1158.613,1300.011
TROW,6839.8,7102.1,6434,6750.7,7128.5
TRHC,184.766,185.548,179.401,173.423,164.706
TCMD,103.967,112.595,113.04,103.385,109.119
TTWO,2181.763,2402.035,2539.244,2651.028,2901.282
TALO,1074.824,1078.277,1394.897,1294.553,1282.276
SKT,472.944,433.206,330.233,313.511,332.036
TPR,3086.9,3322.4,2553.1,2276.4,2530.1
TGT,11545,11833,11169,12578,
TCO,56.93,-10.223,-56.676,-81.015,-96.746
TMHC,2480.202,2537.706,3288.916,3299.48,3419.332
TCF,5670.104,5707.015,5625.684,5635.255,5637.044
TEL,10570,10557,9066,9036,9383
TISI,439.659,436.67,227.429,218.936,213.5
FTI,10078.9,7659.3,4056.4,4141.1,4189.1
TTGT,147.771,152.951,145.375,153.546,162.256
TGNA,1521.696,1590.377,1658.256,1675.307,1799.536
TDY,2571,2714.7,2753,2879.9,3026
TFX,2852.976,2979.32,3073.024,3097.402,3236.203
TDS,4646,4653,4720,4738,4804
TPX,335.5,359.5,199,240.2,446.3
THC,-341,-371,-358,-257,-374
TNC,338.3,359.9,357.3,371.7,393.9
TDC,328,262,349,346,384
TER,1482.635,1480.158,1550.673,1744.551,1993.544
TEX,866.3,932.3,786.2,800.4,852.7
TTEK,989.286,1026.591,950.108,992.894,1037.319
TCBI,2757.433,2832.258,2803.533,2734.755,2800.404
TXN,8985,8907,7734,7644,8325
TXRH,893.975,915.994,896.292,868.021,902.916
TXT,5452,5518,5534,5527,5741
AAN,#N/A,,,,
AES,4026,3884,3412,3337,2871
ALL,26140,25998,24173,26986,27263
ANDE,962.458,973.61,912.257,939.388,939.199
BK,41120,38845,41145,43697,44917
BA,-4116,-8617,-9665,-11667,-11821
SAM,718.98,735.636,758.236,827.483,918.53
BCO,169.2,191.8,66.3,111.3,90
BKE,417.338,389.148,377.949,414.307,
CATO,331.709,316.514,271.652,266.219,
SCHW,21354,21745,26270,30815,31331
CAKE,533.816,571.742,418.971,556.008,532.202
CHEF,322.601,335.933,319.617,387.317,378.008
CC,837,689,655,657,732
PLCE,254.439,235.187,105.035,61.515,
CLX,550,555,695,908,1115
KO,18713,18981,18158,17484,18607
COO,3628.4,3730.7,3627.3,3760.2,
SSP,893.608,897.935,885.32,863.614,923.067
ENSG,686.259,654.197,675.236,715.997,764.755
EL,4530,4574,4329,3935,4452
GPS,3634,3316,2317,2253,
GEO,1007.794,996.83,958.346,945.25,933.283
GS,92012,90265,92379,90029,92650
GT,4835,4351,3510,2833,2860
GBX,1281.808,1286.472,1291.221,1293.043,
HAIN,1470.938,1521.083,1439.048,1443.554,1436.581
THG,3086.8,2916.2,2736.6,3071.7,3155
HIG,16078,16270,15266,17072,17802
HSY,1753.162,1739.222,1671.231,1753.605,2065.854
HD,-1082,-3116,-3490,-414,
IPG,2469,2775.9,2532.5,2450.4,2722.6
SJM,8095.3,8170.4,8190.9,8345.2,
KHC,51673,51623,51009,49040,49218
KR,8915,8602,9356,9820,
MAC,2707.211,2632.262,2533.991,2502.397,2464.328
MCS,622.529,621.435,598.513,572.98,538.968
MIK,-1631.83,-1446.464,-1515.423,-1509.883,
MIDD,1856.031,1946.814,1894.706,1939.517,2031.322
MOS,10100.4,9185.5,8386.2,8493,8532.8
NYT,1095.906,1172.003,1191.714,1229.171,1255.394
ODP,2127,2173,2135,1717,1795
PNTG,71.104,71.111,76.185,82.501,89.339
PNC,49420,49314,49263,52923,53276
PG,46578,45538,45540,46521,48182
PGR,14123.3,13673.2,14351.5,16670.6,18087.2
PRSC,396.889,394.712,405.478,365.757,410.067
SMG,718.7,624.6,789.7,998.5,697.2
SHW,4022.86,4123.3,3289.1,3869.9,4207.3
SO,27804,27796,28016,27961,28580
JOE,512.702,519.521,510.563,527.144,534.912
TKR,1744.8,1868.2,1817.4,1883.6,2028.1
TJX,5542.532,5948.212,4739.218,4660.569,
TTC,859.578,912.05,984.95,1054.032,
TRV,25607,25943,25204,26943,27849
DIS,88877,89757,90407,85866,83583
WEN,649.591,516.359,451.075,483.983,521.535
WU,-19.7,-39.5,-149.7,-73.4,67.1
WMB,13621,13363,12354,12212,12065
TMO,29355,29675,28559,29875,31824
TPRE,1383.58,1414.074,1231.701,1357.304,1427.571
THO,2113.53,2112.842,2086.668,2319.782,
TIF,3129.9,3322.9,3168.9,3195.8,
TMST,599.7,563.1,542.1,527,514.4
TWI,244.231,234.851,179.139,175.373,169.838
TVTY,545.398,226.91,7.624,37.721,2.241
TMUS,27771,28789,28977,62996,64487
TOL,5071.816,4655.551,4564.518,4675.074,
TMP,658.358,661.642,681.153,696.553,712.104
TR,758.329,759.854,751.732,752.608,760.965
BLD,1165.207,1152.889,1179.817,1217.652,1281.594
TSCO,1491.822,1567.123,1353.723,1695.73,1875.866
TT,7237.6,7267.6,5772.6,5936.9,6366.7
TDG,-2894.905,-4303,-4209,-4183,-3972
TG,397.835,376.749,338.59,350.874,289.309
THS,1806,1830.9,1788.1,1803.7,1827.3
TREX,423.55,449.175,451.723,499.661,544.064
TPH,2111.685,2186.53,2115.281,2175.799,2198.088
TRMB,2786.8,3119,3101.3,3211.9,3350
TRN,2110.6,2030.1,2116.4,1891.3,1817.3
TSE,715,668.9,603,458.8,547.6
TRIP,1648,1161,1027,912,908
TBK,633.693,636.59,589.347,656.871,693.842
TGI,-590.824,-532.897,-781.264,-1047.381,-1064.357
TBI,620.665,625.973,415.942,412.761,424.182
TFC,32234,66384,65894,68777,69867
TRUP,132.846,136.76,136.825,141.909,144.298
TRST,526.163,538.257,548.185,553.421,560.528
TRMK,1645.362,1660.702,1652.399,1673.944,1710.041
TTEC,374.721,418.544,388.37,436.024,473.449
TTMI,1247.353,1279.037,1277.2,1445.565,1399.303
TUP,-185,-277,-364,-282.3,-244
TWTR,8415.642,8704.386,8795.627,7658.055,7812.088
TYL,1519.597,1617.058,1712.832,1829.328,1898.145
TSN,14082,14419,14449,14858,15465
USB,53517,51853,51532,51850,52565
USCR,337.8,343.4,342.9,351.8,377.9
USPH,235.485,240.257,241.064,255.254,264.919
SLCA,991.851,705.217,628.495,602.461,591.847
UDR,3246.562,3358.542,3464.115,3397.322,3312.656
UFPI,1215.459,1243.715,1260.712,1324.399,1397.59
UGI,3817.5,3995.4,4080.5,4126.7,4128
ULTA,1847.156,1902.094,1753.959,1770.793,
UCTT,440.964,436.7,445.9,470.5,500.1
UMBF,2563.866,2606.44,2663.441,2777.395,2854.18
UMPQ,4289.516,4313.915,2507.611,2538.339,2610.244
UA,2153.666,2150.087,1550.18,1423.414,1470.346
UAA,2153.666,2150.087,1550.18,1423.414,1470.346
UFI,390.007,395.479,333.829,316.155,320.077
UNF,1676.008,1701.438,1708.1,1741.129,
UNP,18016,18128,15991,16452,17199
UIS,-1167.1,-1265.4,-244.7,-274.3,-237.9
UAL,11301,11531,9418,8517,7003
UBSI,3354.342,3363.833,3343.702,4197.855,4267.441
UCBI,1605.425,1635.692,1640.612,1771.645,1967.255
UFCS,964.168,910.472,833.144,860.667,820.282
UIHC,515.842,503.138,485.456,528.267,453.94
UNFI,1126.556,1102.06,1169.815,1144.745,
UPS,5558,3267,3299,4363,5592
URI,3650,3830,3635,3907,4161
X,4199,4092,3725,3617,3449
UTHR,2715.8,2780.4,2948.5,3093.7,3283.1
UNH,54996,57616,56977,63624,65231
UNIT,-1521.429,-1566.868,-1677.252,-2287.885,-2065.59
UNVR,1745,1732.8,1683.6,1703.2,1751
UVV,1298.659,1309.796,1246.665,1236.244,1239.5
OLED,786.567,811.449,846.697,839.77,879.636
UEIC,261.651,274.399,269.959,286.132,296.555
UHT,184.625,181.734,172.44,166.24,162.394
UHS,5389.215,5504.105,5413.209,5688.647,5962.788
UVE,568.981,493.901,494.288,527.701,474.763
UNM,9631.6,9965,9803.1,10561.4,10892.2
UE,988.049,967.816,957.425,987.111,984.009
URBN,1429.853,1455.355,1298.108,1350.593,
UBA,579.724,573.944,570.789,572.78,
ECOL,385.967,1011.38,676.323,672.947,683.789
USNA,314.286,351.712,317.608,349.076,389.117
VFC,4647.619,4567.59,3357.334,2912.598,2945.238
VLO,21107,21803,18842,19847,19223
VLY,3558.075,4384.188,4420.998,4474.488,4533.763
VMI,1086.691,1111.484,1087.411,1126.835,1162.439
VVV,-258,-196,-237,-188,-76
VNDA,400.907,410.945,416.386,431.584,440.572
VREX,444.9,447.9,451.1,467.1,451.7
VAR,1768.3,1847.3,1860.8,1933.5,2075.5
VGR,-629.161,-685.464,-718.999,-669.204,-662.119
VECO,402.47,374.512,377.064,395.331,398.093
VTR,10665.706,10445.892,10632.942,10311.212,10196.852
VRA,292.048,303.77,275.574,293.774,
VRSN,-1451.919,-1490.1,-1409.114,-1400.324,-1386.248
VRSK,2063.7,2260.8,2080.5,2176.1,2421.3
VBTX,1205.53,1190.797,1149.269,1163.749,1185.337
VRTV,524.6,536.2,526.8,513,542.8
VZ,58921,61395,60210,62697,65069
VRTX,5253.394,6085.244,6461.654,7519.242,8133.473
VIAC,5052,13207,13449,13874,14556
VVI,465.037,467.498,349.295,153.772,134.848
VSAT,1990.907,2006.268,2027.787,2072.966,2280.046
VTRS,#N/A,0,0,-1.2,-201
VIAV,708.1,764.3,676.9,711.4,753.8
VICR,202.269,205.562,206.681,326.324,337.262
VRTS,665.704,675.699,656.219,658.166,679.03
VRTU,489.512,510.581,504.767,510.666,530.554
V,34684,35270,34585,35524,36210
