,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
AMBC,Financials,Insurance,Insurance,Property & Casualty Insurance
AMCX,Communication Services,Media & Entertainment,Media,Broadcasting
AMCR,Materials,Materials,Containers & Packaging,Paper Packaging
AMED,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
AEE,Utilities,Utilities,Multi-Utilities,Multi-Utilities
AAL,Industrials,Transportation,Airlines,Airlines
AAT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AXL,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
ACC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
AEO,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
AEP,Utilities,Utilities,Electric Utilities,Electric Utilities
AEL,Financials,Insurance,Insurance,Life & Health Insurance
AXP,Financials,Diversified Financials,Consumer Finance,Consumer Finance
AFG,Financials,Insurance,Insurance,Multi-line Insurance
AIG,Financials,Insurance,Insurance,Multi-line Insurance
APEI,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
AWR,Utilities,Utilities,Water Utilities,Water Utilities
AMT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
AVD,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
AWK,Utilities,Utilities,Water Utilities,Water Utilities
AMWD,Industrials,Capital Goods,Building Products,Building Products
CRMT,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
AMP,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
ABCB,Financials,Banks,Banks,Regional Banks
AMSF,Financials,Insurance,Insurance,Property & Casualty Insurance
ABC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
AME,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
AMGN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
AMN,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
AMPH,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
APH,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
ADI,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
ANGO,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
ANIP,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
ANIK,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
ANSS,Information Technology,Software & Services,Software,Application Software
AM,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
ANTM,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
AON,Financials,Insurance,Insurance,Insurance Brokers
APA,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
AIV,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
APOG,Industrials,Capital Goods,Building Products,Building Products
ARI,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
AAPL,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
AIT,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
AMAT,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
AAOI,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
ATR,Materials,Materials,Containers & Packaging,Metal & Glass Containers
APTV,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
ARCB,Industrials,Transportation,Road & Rail,Trucking
ADM,Consumer Staples,Food Beverage & Tobacco,Food Products,Agricultural Products
AROC,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
ARNC,Materials,Materials,Metals & Mining,Aluminum
ACA,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
ANET,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
ARLO,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
AHH,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
ARR,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
ARW,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Technology Distributors
ARWR,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
AJG,Financials,Insurance,Insurance,Insurance Brokers
ABG,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
ASGN,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services
ASH,Materials,Materials,Chemicals,Specialty Chemicals
ASB,Financials,Banks,Banks,Regional Banks
AIZ,Financials,Insurance,Insurance,Multi-line Insurance
AGO,Financials,Insurance,Insurance,Property & Casualty Insurance
ASTE,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
T,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
AAWW,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
ATO,Utilities,Utilities,Gas Utilities,Gas Utilities
ATNI,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
ADSK,Information Technology,Software & Services,Software,Application Software
ADP,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
AN,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
AZO,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
AVB,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
AVNS,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
AVY,Materials,Materials,Containers & Packaging,Paper Packaging
AVNT,Materials,Materials,Chemicals,Specialty Chemicals
CAR,Industrials,Transportation,Road & Rail,Trucking
AVA,Utilities,Utilities,Multi-Utilities,Multi-Utilities
AVT,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Technology Distributors
ACLS,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
AAXN,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AX,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
AZZ,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
BGS,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
BMI,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
BKR,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
BCPC,Materials,Materials,Chemicals,Specialty Chemicals
BLL,Materials,Materials,Containers & Packaging,Metal & Glass Containers
BANC,Financials,Banks,Banks,Regional Banks
BANF,Financials,Banks,Banks,Regional Banks
BXS,Financials,Banks,Banks,Regional Banks
BAC,Financials,Banks,Banks,Diversified Banks
BOH,Financials,Banks,Banks,Regional Banks
OZK,Financials,Banks,Banks,Regional Banks
BKU,Financials,Banks,Banks,Regional Banks
BANR,Financials,Banks,Banks,Regional Banks
BNED,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
B,Industrials,Capital Goods,Machinery,Industrial Machinery
BAX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
BDX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
BBBY,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
BELF.B,#N/A,#N/A,#N/A,#N/A
BDC,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
BHE,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
BRK.B,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings
BHLB,Financials,Banks,Banks,Regional Banks
BBY,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail
BIG,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
BIIB,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
BIO,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
TECH,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
BEAT,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
BJRI,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
BJ,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
BKH,Utilities,Utilities,Multi-Utilities,Multi-Utilities
BLKB,Information Technology,Software & Services,Software,Application Software
BLK,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
BLMN,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
BCOR,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
BCC,Materials,Materials,Paper & Forest Products,Forest Products
BCEI,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
BKNG,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
BOOT,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
BWA,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
BPFH,Financials,Banks,Banks,Regional Banks
BXP,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
BSX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
EPAY,Information Technology,Software & Services,Software,Application Software
BYD,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
BRC,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Commercial Printing
BDN,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
BHF,Financials,Insurance,Insurance,Life & Health Insurance
BSIG,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
EAT,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
BMY,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
VTOL,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
BRX,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
AVGO,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
BR,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
BRKL,Financials,Banks,Banks,Regional Banks
BRKS,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
BRO,Financials,Insurance,Insurance,Insurance Brokers
BF.B,Consumer Staples,Food Beverage & Tobacco,Beverages,Distillers & Vintners
BC,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
BLDR,Industrials,Capital Goods,Building Products,Building Products
CHRW,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
CABO,Communication Services,Media & Entertainment,Media,Cable & Satellite
CBT,Materials,Materials,Chemicals,Commodity Chemicals
COG,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
CACI,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
CADE,Financials,Banks,Banks,Regional Banks
CDNS,Information Technology,Software & Services,Software,Application Software
CZR,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
CAMP,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
CVGW,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
CAL,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
CWT,Utilities,Utilities,Water Utilities,Water Utilities
ELY,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
CPE,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
CALM,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
CPT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
CPB,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
CMD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
COF,Financials,Diversified Financials,Consumer Finance,Consumer Finance
CFFN,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
CPRI,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
CMO,Financials,Diversified Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
CAH,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
CSII,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
CATM,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
CTRE,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
CSL,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
KMX,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
CCL,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
CRS,Materials,Materials,Metals & Mining,Steel
CARR,Industrials,Capital Goods,Building Products,Building Products
CRI,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
CASY,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
CTLT,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
CAT,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
CATY,Financials,Banks,Banks,Regional Banks
CVCO,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
CBOE,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
CBRE,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Services
CDK,Information Technology,Software & Services,Software,Application Software
CDW,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Technology Distributors
CE,Materials,Materials,Chemicals,Specialty Chemicals
CNC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
CNP,Utilities,Utilities,Multi-Utilities,Multi-Utilities
CENT,Consumer Staples,Household & Personal Products,Household Products,Household Products
CENT.A,#N/A,#N/A,#N/A,#N/A
CPF,Financials,Banks,Banks,Regional Banks
CENX,Materials,Materials,Metals & Mining,Aluminum
CCS,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
CDAY,Information Technology,Software & Services,Software,Application Software
CERN,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
CEVA,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
CF,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
CHX,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
CRL,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
GTLS,Industrials,Capital Goods,Machinery,Industrial Machinery
CHTR,Communication Services,Media & Entertainment,Media,Cable & Satellite
CLDT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
CHE,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
CPK,Utilities,Utilities,Gas Utilities,Gas Utilities
CVX,Energy,Energy,Oil Gas & Consumable Fuels,Integrated Oil & Gas
CHS,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
CMG,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
CHH,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
CB,Financials,Insurance,Insurance,Property & Casualty Insurance
CHD,Consumer Staples,Household & Personal Products,Household Products,Household Products
CHDN,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
CHUY,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
CIEN,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
CI,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
XEC,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
CBB,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
CINF,Financials,Insurance,Insurance,Property & Casualty Insurance
CNK,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
CTAS,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services
CIR,Industrials,Capital Goods,Machinery,Industrial Machinery
CRUS,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
CSCO,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
CIT,Financials,Banks,Banks,Regional Banks
C,Financials,Banks,Banks,Diversified Banks
CFG,Financials,Banks,Banks,Regional Banks
CTXS,Information Technology,Software & Services,Software,Application Software
CHCO,Financials,Banks,Banks,Regional Banks
CLH,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
CLW,Materials,Materials,Paper & Forest Products,Paper Products
CLF,Materials,Materials,Metals & Mining,Steel
CCMP,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
CME,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
CMS,Utilities,Utilities,Multi-Utilities,Multi-Utilities
CNO,Financials,Insurance,Insurance,Life & Health Insurance
CNX,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
COKE,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks
CCOI,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers
CGNX,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
CTSH,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
COHR,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
CHRS,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
COHU,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
CFX,Industrials,Capital Goods,Machinery,Industrial Machinery
CL,Consumer Staples,Household & Personal Products,Household Products,Household Products
COLB,Financials,Banks,Banks,Regional Banks
COLM,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
CMCS.A,#N/A,#N/A,#N/A,#N/A
CMA,Financials,Banks,Banks,Regional Banks
FIX,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
CBSH,Financials,Banks,Banks,Regional Banks
CMC,Materials,Materials,Metals & Mining,Steel
CBU,Financials,Banks,Banks,Regional Banks
CYH,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
CHCT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
CVLT,Information Technology,Software & Services,Software,Systems Software
CMP,Materials,Materials,Metals & Mining,Diversified Metals & Mining
CPSI,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
CMTL,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
CAG,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
CNXC,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
CXO,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
CNMD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
CONN,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail
COP,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
CEIX,Energy,Energy,Oil Gas & Consumable Fuels,Coal & Consumable Fuels
CNSL,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
ED,Utilities,Utilities,Multi-Utilities,Multi-Utilities
STZ,Consumer Staples,Food Beverage & Tobacco,Beverages,Distillers & Vintners
CTB,Consumer Discretionary,Automobiles & Components,Auto Components,Tires & Rubber
CPS,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
CPRT,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services
CORT,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
CLB,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
CXW,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
CLGX,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
CORE,Consumer Discretionary,Retailing,Distributors,Distributors
COR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
GLW,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
OFC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
CTVA,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
CRVL,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
COST,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
COTY,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
CUZ,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
CVET,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
CBRL,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
CR,Industrials,Capital Goods,Machinery,Industrial Machinery
CREE,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
CROX,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Footwear
CCRN,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
CCI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
CRY,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
CSGS,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
CSX,Industrials,Transportation,Road & Rail,Railroads
CTS,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
CUB,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
CFR,Financials,Banks,Banks,Regional Banks
CMI,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
CW,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
CUBI,Financials,Banks,Banks,Regional Banks
CUTR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
CVBF,Financials,Banks,Banks,Regional Banks
CVS,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
CONE,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
CYTK,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
DHI,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
DAKT,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
