Symbol,Q3 2019 Shares Outstanding,Q4 2019 Shares Outstanding,Q1 2020 Shares Outstanding,Q2 2020 Shares Outstanding,Q3 2020 Shares Outstanding
SXC,91.20845,86.755196,83.739,82.76118,82.768074
RUN,117.607475,118.058,119.38555,120.33016,126.89422
SUPN,52.449,52.463,52.534,52.53866,52.664085
SRDX,13.491,13.588,13.59,13.608433,13.645174
SIVB,51.539,51.568,51.547,51.513226,51.76094
SYKE,41.59091,41.434,41.549,40.503708,39.56551
SYNA,33.00318,33.464176,33.940407,34.035706,34.262863
SYF,653.7,646.193,587.2326,583.7078,583.755
SYNH,103.485,103.796,104.247,104.169106,104.474525
SNX,51.075,51.44143,51.47595,51.494724,
SNPS,150.287,150.535,150.227,150.78871,
SNV,147.594,146.545,147.296,147.28587,147.31294
SYY,513.177,510.227,508.509,507.1984,508.5356
TROW,235.565,233.677,233.36482,227.54889,226.98563
TRHC,22.088,22.205,22.382,23.020885,22.960407
TCMD,18.968,19.028,19.155,19.233044,19.413004
TTWO,113.178,113.347,113.424,113.94276,114.33876
TALO,54.192,54.197,65.34227,65.34227,73.0217
SKT,93.544,92.893,92.892,93.46601,93.47227
TPR,287.83,275.93564,276.029,276.09848,277.37354
TGT,510.929,506.737,499.82855,500.01547,
TCO,61.209,61.22,61.238,61.60838,61.71537
TMHC,105.30895,105.8405,134.44835,129.59996,129.69481
TCF,153.48302,153.407,152.304,152.10893,152.23396
TEL,335.935,334.475,334.142,329.84787,330.03848
TISI,30.293,30.364,30.519,30.627638,30.627638
FTI,446.482,447.065,447.447,448.3034,449.33212
TTGT,27.652073,28.142519,28.028446,27.536785,28.098707
TGNA,216.654,216.904,218.353,218.53014,218.9551
TDY,36.379,36.47,36.644,36.663612,36.86342
TFX,46.233,46.296,46.371,46.42542,46.51603
TDS,107.4757,107.4757,107.5436,107.0349,107.0349
TPX,219.248,216.36107,208.3941,206.1533,206.26509
THC,103.448,103.895,104.289,104.71519,105.38922
TNC,18.206,18.267,18.35,18.442501,18.462465
TDC,114.1,112.5,110.56,108.5,109
TER,169.946,167.57767,166.615,165.7683,166.03233
TEX,71.2,71.3,69.417984,69.3,69.3
TTEK,54.649,54.588,54.684,54.02607,53.888317
TCBI,50.298,50.328,50.397,50.42606,50.447826
TXN,933.62,934.775,933.685,917.77264,915.9438
TXRH,69.57383,69.409,69.406,69.31081,69.40397
TXT,230.12358,228.263,227.645,227.645,228.03546
AES,663.85,663.893,664.768,664.9075,665.13116
ALL,329.1918,319,316.914,314.1161,312.31616
ANDE,32.6,32.6,33.532574,32.9,33
BK,922.199,900.683,885.051,885.4428,885.8617
BA,562.71,562.791,564.226,564.3253,564.4487
SAM,9.185,9.216,9.481434,9.655555,9.901752
BCO,49.999,50.025,50.436,50.485935,50.52066
BKE,49.224,49.225,49.408,49.408,
CATO,23.002628,22.873,21.881638,22.252037,
SCHW,1307.1831,1284.579,1286.216,1287.3844,1288.6418
CAKE,44.631523,44.634,45.461334,45.46213,45.46228
CHEF,30.291365,30.333,30.465,37.666508,37.797546
CC,163.482,163.501,164.006,164.23236,164.24026
PLCE,15.57096,15.064783,14.544465,14.585719,
CLX,125.467,125.503,125.1,125.1,125.97704
KO,4276.027,4284.491,4293.402,4294.891,4295.439
COO,49.574,49.167,53.33045,53.33309,
SSP,68.94,68.982,69.393,69.456795,69.61058
ENSG,53.386353,53.353,53.531,53.672127,53.77068
EL,221.861,222.551,222.319,224.7632,226.13931
GPS,375.788,373.299,372.639,373.4707,
GEO,121.252,121.275,121.238,121.362,121.33395
GS,359.5635,347.34317,345.67276,343.8866,344.07617
GT,232.521,232.564,232.688,232.688,233.01056
GBX,32.596,32.596,32.668,32.70093,
HAIN,104.219,104.33351,104.385,101.954185,100.85393
THG,39.553955,38.4,38.17,37.997944,37.719265
HIG,361.581,360.421,358.252,358.07498,358.1964
HSY,148.965,148.308,148.13583,147.39584,147.4087
HD,1095.153,1090.831,1074.116,1075.5228,
IPG,387.223,387.732,387.824,389.61392,389.92288
SJM,114.048,114.056,114.038,114.10778,
KHC,1219.991,1221.1606,1221.757,1221.8331,1222.5786
KR,801.621,800.587,778,777.92584,
MAC,141.265,141.265,141.297,141.53499,149.46367
MCS,22.984,22.988,23.023,23.13183,23.135199
MIK,155.27464,146.785,146.84666,147.33989,
MIDD,55.671,56.141,56.19,55.580048,55.61766
MOS,385.867,378.76443,378.76443,379.02048,379.09003
NYT,165.207,165.235,165.853,165.86072,165.95319
ODP,54.6378,53.51823,52.9088,52.63384,52.66495
PNTG,#N/A,27.847,27.885,27.908562,27.98065
PNC,439,433,424,424.26044,424.50284
PG,2502.633,2493.812,2469.453,2475.6426,2489.6213
PGR,584.6,584.6,585.298,585.29846,585.6
PRSC,12.904172,12.899,13.026,13.781216,14.050275
SMG,55.497,55.82,55.596,55.50205,55.768818
SHW,92.256,92.309,90.8,90.8,91.04966
SO,1045.232,1048.734,1054.228,1055.9557,1056.1307
JOE,60.206,59.41458,59.41458,58.89895,58.88255
TKR,76.042,75.324,75.813,75.06615,75.09827
TJX,1212.6676,1212.6676,1212.6676,1197.8771,
TTC,106.602,106.602,106.979,107.17381,
TRV,260.386,255.5,255.031,252.83583,253.19118
DIS,1801.379,1802.398,1805.439,1806.2667,1807.0634
WEN,230.603,230.04709,223.03226,222.69281,223.81798
WU,419.9,418,413.1224,410.90482,411.00397
WMB,1212.022,1212.049,1212.495,1213.197,1213.5585
TMO,400.476,400.991,398.828,394.951,395.5894
TPRE,94.037,94.221,94.213,94.881226,94.920204
THO,55.199,55.199,55.199,55.198757,
TIF,120.799,119.984,121.33509,121.34667,
TMST,44.816,44.82,44.938,44.965977,45.036324
TWI,60.166,60.288,60.362,60.602295,60.92378
TVTY,47.833,47.994,48.434,48.486057,48.560368
TMUS,854.457,855.575,856.93286,1238.7986,1237.809
TOL,140.429,129.799,126.732,125.629,
TMP,15.098,14.94,14.925,14.907286,14.917458
TR,40.409992,40.18957,39.952,39.7694,39.663933
BLD,34.282,33.948,33.503,33.327206,33.080597
TSCO,119.26496,118.386,116.02464,115.63012,116.2237
TT,241.577,238.317,238.40103,239.20793,239.35416
TDG,53.375,53.548,53.688,54.07232,54.20628
TG,33.353,33.35,33.365,33.510715,33.51695
THS,56.201,56.213,56.264,56.434444,56.501614
TREX,116.85,116.674,116.41305,115.70643,115.75631
TPH,139.2377,136.14963,134.20374,130.23698,130.32587
TRMB,251.78987,249.134,250.166,249.76186,250.21577
TRN,127.87431,122.685,118.36903,117.833595,118.66151
TSE,40.2007,39.179802,38.320507,38.238976,38.268723
TRIP,126.5,124.58177,123.286835,121.39181,121.64061
TBK,25.357985,24.96496,24.10112,24.097486,24.851582
TGI,50.059,50.085,51.849182,51.898357,52.072826
TBI,40.07,38.955,36.127686,36.12619,36.06129
TFC,766.30347,1341.3352,1345.0016,1347.5271,1347.6089
TRUP,34.79,34.947,34.959,35.100334,35.26857
TRST,96.91,96.917,96.802,96.432655,96.432655
TRMK,64.401,64.26,63.943,63.420864,63.42244
TTEC,46.483,46.485596,46.491,46.59712,46.73359
TTMI,105.493,105.494,105.957,106.243675,106.725174
TUP,48.792,48.899,48.971024,49.013958,49.117622
TWTR,773.01764,776.357,783.237,784.629,790.949
TYL,38.582787,39.308617,39.396,39.761627,40.24079
TSN,294.676,295.365,294.30978,294.30978,294.2511
USB,1575.827,1534,1521.261,1506.2891,1506.3625
USCR,16.66,16.699,16.671701,16.6721,16.671808
USPH,12.774,12.774,12.775,12.843896,12.843047
SLCA,73.58,73.568,73.756,73.80713,73.89052
UDR,292.84235,293.053,294.631,294.88602,295.06686
UFPI,61.367,61.39,61.10248,61.10248,61.16918
UGI,208.95969,209.011,208.548,208.26718,208.32088
ULTA,58.849,57.161343,56.309475,56.31171,
UCTT,39.545,39.9,39.9,39.9,40.5
UMBF,49.068,49.092,48.928,48.136925,48.02391
UMPQ,220.199,220.217,220.438,220.21533,220.2218
UA,228.653,228.914,229.07,231.19133,231.50505
UAA,188.144,188.202,188.306,188.45248,188.5321
UFI,18.49,18.496,18.505,18.446436,18.446554
UNF,15.294,15.289,15.247,15.248511,
UNP,704.53,694.2,678.5539,678.56805,678.8388
UIS,62.378,62.395,62.902,62.970005,63.01724
UAL,256.92148,253.044,247.95111,290.4468,290.9839
UBSI,101.872,101.531,101.7236,129.7799,129.75542
UCBI,79.079,78.982,78.506,78.29027,86.47248
UFCS,25.257,25.032,25.051,25.016092,25.031235
UIHC,43.231,43.234,43.028,42.98337,43.06838
UNFI,53.434242,53.508,53.618,54.686954,
UPS,698.335,700.755,702.088,704.1169,707.08124
URI,77.162796,75.156,74.07793,72.04949,72.08028
X,170.743,170.038,170.247,220.37584,220.37584
UTHR,43.85,43.881,43.885,44.012325,44.411793
UNH,947.681,947.415,948.573,948.3795,950.33575
UNIT,193.143,193.276,193.264,194.09125,232.78049
UNVR,168.61844,168.61658,168.879,168.90094,169.06168
UVV,24.971,24.804,24.67,24.480497,24.488964
OLED,47.107,47.111,47.188,47.1058,47.10035
UEIC,13.879,13.928,14.015,13.913019,13.931552
UHT,13.757,13.757,13.758,13.758047,13.769667
UHS,81.23152,80.32497,78.351105,77.66928,77.700356
UVE,33.21148,33.21148,32.685097,31.853,31.852829
UNM,208.6309,206.268,202.971,203.42046,203.55698
UE,121.171,121.223,121.41507,116.53433,116.70131
URBN,97.975,97.975,97.777,97.77959,
UBA,29.892,29.99,29.991,29.994064,
ECOL,22.081,31.436953,31.516432,31.503073,31.509733
USNA,22.257042,21.643055,21.549,21.01433,21.01433
VFC,398.177,399.374,394.72028,389.55942,389.64865
VLO,414.403,410.653,409.337,407.6986,407.75726
VLY,331.806,403.8006,403.749,403.80075,403.7976
VMI,21.632744,21.526,21.524,21.356577,21.361582
VVV,188.19,188.441,188.448,185.03032,185.0353
VNDA,53.274,53.337,53.649,54.55046,54.651398
VREX,38.4,38.494,38.5,39.1,39.056965
VAR,91.061,90.909,90.666,90.81494,91.16134
VGR,147.79065,147.79,148.085,153.0849,153.29337
VECO,48.971,48.903,49.02,49.42839,49.61908
VTR,372.585,372.736,372.86,373.07486,373.08755
VRA,33.989,33.642426,33.121414,33.400063,
VRSN,118.372,117.409,116.418,115.539474,114.85368
VRSK,163.506,163.87,163.076,162.25911,162.38591
VBTX,52.373,51.064,49.557365,49.633,49.647366
VRTV,16.1,16.1,16.15,15.866822,15.8935
VZ,4136,4135.784,4140,4137.9956,4138.094
VRTX,257.035,257.15,259.269,259.2767,260.46735
VIAC,351.864,562.98346,562.71674,563.1057,563.7714
VVI,20.311857,20.326,20.351,20.396954,20.431442
VSAT,61.35256,61.35256,62.129257,62.14714,67.50156
VTRS,515.87,516.133,516.177,516.9472,516.94696
VIAV,228.855,229.79,230.253,227.9731,228.31825
VICR,28.52,28.646,28.844,30.958118,31.305645
VRTS,6.945,6.945,7.724,7.695445,7.664272
VRTU,30.247,29.843672,29.861,30.132816,30.295864
V,1726.9714,1711.838,1706.024,1687.1124,1686.0072
VSH,132.348,132.348,132.548,132.548,132.56075
VSTO,57.754,57.827,57.877,58.063984,58.062202
VC,27.954248,27.965,28.019,27.825047,27.827267
VG,242.098,242.627,242.919,245.36816,245.55173
VNO,190.813,190.85,190.986,191.11572,191.15114
VMC,132.287,132.355,132.555,132.43433,132.44814
WRB,183.176,183.675,183.422,178.7243,178.0038
GWW,53.866253,53.866,53.673,53.467937,53.571735
WNC,54.457,53.47362,53.082,52.849777,52.912987
WAB,191.69856,191.682,191.711,190.28862,190.29955
WDR,71.211,68.847,66.655,65.622665,62.548
WBA,892.541,885.862,877.22,866.5341,
WD,30.735,30.817,31.059,31.131823,31.104094
WMT,2844.284,2837.175,2833.702,2831.9534,
HCC,51.571,51.072,51.161,51.167698,51.1855
WAFD,79.401,78.34628,75.7061,75.7061,75.70606
WRE,80.084,82.099,82.115,82.31709,82.346725
WM,424.232,424.241,423.627,422.02502,422.46118
WAT,66.759445,64.43438,62.158047,61.908684,61.925972
WSO,32.61352,32.64767,32.718,32.758823,32.822624
WTS,27.641,27.602,27.598,27.489109,27.446693
WDFC,13.704,13.707,13.668,13.664786,
WBS,92.16,92.032,90.172,90.16971,90.19203
WEC,315.436,315.43454,315.43454,315.43454,315.43454
WRI,128.67,128.673,128.962,128.10321,128.10312
WFC,4269.1,4134.4,4089.398,4099.9976,4120.047
WELL,405.247,410.257,410.556,417.4793,417.3007
WERN,69.195,69.205,69.351,69.09703,69.09703
WST,73.749,73.991,73.8,73.602234,73.84068
WABC,26.982,27.055,27.102,26.939348,26.932928
WDC,296.00388,297.405,298.932,299.70102,302.5258
WRK,257.342,258.228,258.456,259.255,259.63635
WEX,43.8,43.289616,43.342,43.510513,44.094852
WY,744.929,745.142,745.519,746.206,746.267
WHR,63.527,63.2,62.678,62.163067,62.293823
WSR,40.234,41.49212,42.046734,42.135048,42.344563
WSM,78.022,77.467,77.21349,77.75898,
WLTW,128.994,128.573,128.721,129.6,128.85841
WING,29.443,29.453,29.457,29.583,29.598957
WGO,33.684986,33.68,33.697,33.69908,
WTFC,56.689,57.82189,57.373,57.56942,57.600765
WETF,155.099,155.213,156.437,149.796,149.87575
WWW,85.253,80.87573,81.069855,81.18776,81.87713
WWD,61.846,62.012,62.216,62.28957,62.383698
WRLD,9.04185,7.915,7.932,7.509384,7.420482
INT,65.381874,65.392,65.406,63.317795,63.48993
WWE,47.56126,47.457,46.21163,46.31613,46.68801
WOR,55.92382,56.067066,55.54729,53.362,
WPX,422.395,416.7409,559.3648,559.40295,561.01984
WW,67.298,67.322,67.428,67.53481,68.010735
WYND,90.704216,90.704,85.13482,85.13482,85.251076
WH,95.16746,95.16746,93.69532,93.09052,93.16105
WYNN,107.616,107.355,107.516,107.86826,107.84797
XEL,524.38403,524.3881,524.669,525.17084,525.3423
XNCR,56.62,56.721,56.944,57.004787,57.242886
XHR,112.642,112.642,112.723,113.456924,113.73071
XRX,218.963,212.59,212.789,212.93515,205.957
XLNX,252.605,251.46739,248.83656,243.19437,244.314
XPER,49.341,49.618,49.862,115.01147,108.471436
XPO,92.181,92.3,92.358,91.126366,91.325645
XYL,180.029,180.079,180.223,179.9153,179.95929
YELP,71.02752,70.20169,71.839645,71.88979,73.1321
YETI,85.775,86.774,86.786446,86.95285,87.01142
YUM,304.286,302.462,300.822,300.98596,301.39963
ZBRA,54.116,53.921,53.06499,53.091564,53.339844
ZBH,205.315,205.684,206.682,206.80211,207.04984
ZION,170.373,165.057,164.013,163.86195,163.978
ZTS,477.558,476.299,474.934,474.94077,475.1447
ZUMZ,25.764,25.803,25.410147,25.430813,
ZYXI,32.458,32.743,32.812,33.192516,34.705555
